[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Epinephrine.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Epinephrine.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Epinephrine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Epinephrine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Epinephrine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Epinephrine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Epinephrine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Epinephrine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Epinephrine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Epinephrine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be increased when used in combination with Epinephrine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Epinephrine.]
[N05AE05, lurasidone, Epinephrine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Epinephrine.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Epinephrine.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Epinephrine.]
[A11DA01, thiamine, The serum concentration of Epinephrine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Epinephrine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Thioridazine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the hypertensive activities of Epinephrine.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Epinephrine is combined with Thyrotropin.]
