[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cimetidine.]
[J01GA01, streptomycin, Cimetidine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Cimetidine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Cimetidine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Cimetidine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Cimetidine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Cimetidine may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be increased when used in combination with Cimetidine.]
[A10BB04, glibornuride, The serum concentration of Glibornuride can be increased when it is combined with Cimetidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Cimetidine.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Cimetidine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Cimetidine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Cimetidine.]
[R03CC03, terbutaline, Cimetidine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Cimetidine can cause a decrease in the absorption of Dabigatran etexilate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
