[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ranitidine.]
[J01GA01, streptomycin, Ranitidine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Ranitidine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Ranitidine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Sulfamethoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be increased when used in combination with Ranitidine.]
[A10BB04, glibornuride, The serum concentration of Glibornuride can be increased when it is combined with Ranitidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The excretion of Ranitidine can be decreased when combined with Mercaptopurine.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Ranitidine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ranitidine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03CC03, terbutaline, Ranitidine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Ranitidine can cause a decrease in the absorption of Dabigatran etexilate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03BA03, testosterone, The excretion of Ranitidine can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Ranitidine.]
[S03AA02, tetracycline, The excretion of Ranitidine can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Ranitidine can be decreased when combined with Dronabinol.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Ranitidine.]
[P02CA02, thiabendazole, The metabolism of Ranitidine can be decreased when combined with Thiabendazole.]
[A11DA01, thiamine, The serum concentration of Ranitidine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Ranitidine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Ranitidine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Ranitidine.]
[G04BE06, moxisylyte, Ranitidine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[B03AB03, sodium ironedetate, Ranitidine can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL03, tiapride, Ranitidine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Ranitidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Ranitidine.]
[P01AB02, tinidazole, Ranitidine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
