[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Famotidine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be increased when used in combination with Famotidine.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Famotidine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Famotidine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Famotidine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Famotidine.]
[B01AE07, dabigatran etexilate, Famotidine can cause a decrease in the absorption of Dabigatran etexilate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G03BA03, testosterone, The excretion of Famotidine can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Tetrabenazine.]
[S03AA02, tetracycline, The excretion of Famotidine can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Famotidine.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Famotidine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Famotidine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Famotidine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Eribulin.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Thiothixene.]
[B03AB03, sodium ironedetate, Famotidine can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Famotidine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Famotidine.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Famotidine.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Famotidine.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Famotidine.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Famotidine.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Famotidine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Famotidine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Famotidine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Vandetanib.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be increased when it is combined with Famotidine.]
[J05AG05, rilpivirine, Famotidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
