[P02BB01, trichlorfon, The therapeutic efficacy of Atropine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Atropine is combined with Antipyrine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01EC01, sulfamethoxazole, Atropine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Atropine may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Atropine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Atropine is combined with Sulindac.]
[N05AL01, sulpiride, Atropine may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Atropine is combined with Azapropazone.]
[N06DA01, tacrine, The therapeutic efficacy of Atropine can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, Tamoxifen may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Atropine is combined with Terbutaline.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A04AD10, dronabinol, The risk or severity of Tachycardia and drowsiness can be increased when Atropine is combined with Dronabinol.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Atropine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01AC01, thiotepa, The therapeutic efficacy of Atropine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Atropine is combined with Thiopental.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01BB04, aprindine, Atropine may increase the arrhythmogenic activities of Aprindine.]
[B02AB01, aprotinin, The therapeutic efficacy of Atropine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Atropine is combined with Moxisylyte.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Atropine is combined with Tilidine.]
[S01ED01, timolol, Timolol may increase the arrhythmogenic activities of Atropine.]
[P01AB02, tinidazole, Atropine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[M02AX02, tolazoline, Atropine may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Atropine.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AX02, tramadol, The risk or severity of adverse effects can be increased when Atropine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Atropine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Atropine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03AA06, trichlormethiazide, Atropine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Atropine is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Atropine can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
