[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cisapride.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cisapride.]
[J01EC02, sulfadiazine, The metabolism of Cisapride can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Cisapride.]
[M04AB02, sulfinpyrazone, The metabolism of Cisapride can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Cisapride.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Cisapride is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Cisapride is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Cisapride.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Cisapride.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Cisapride.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Cisapride.]
[G03BA03, testosterone, The metabolism of Cisapride can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Cisapride.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Cisapride can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cisapride.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Cisapride.]
[L04AX02, thalidomide, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Cisapride.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Cisapride.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Cisapride.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Cisapride.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Cisapride.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Cisapride.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Cisapride.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Cisapride.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Cisapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Cisapride is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Cisapride.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Cisapride.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Cisapride is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Cisapride can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Cisapride.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Cisapride.]
[S01BA05, triamcinolone, The metabolism of Cisapride can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Triazolam.]
