[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Domperidone.]
[J01EC02, sulfadiazine, The metabolism of Domperidone can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Domperidone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Domperidone.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Domperidone.]
[N06DA01, tacrine, The metabolism of Domperidone can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Domperidone.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Domperidone.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Domperidone.]
[G03BA03, testosterone, The metabolism of Domperidone can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Domperidone is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Domperidone.]
[A04AD10, dronabinol, The metabolism of Domperidone can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Domperidone.]
[L04AX02, thalidomide, The metabolism of Domperidone can be increased when combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Domperidone.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Domperidone.]
[P02CA02, thiabendazole, The metabolism of Domperidone can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Domperidone.]
[L01AC01, thiotepa, The metabolism of Domperidone can be decreased when combined with Thiotepa.]
[N05AC02, thioridazine, The metabolism of Domperidone can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Domperidone.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Domperidone.]
[B01AC05, ticlopidine, The metabolism of Domperidone can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Domperidone.]
[V04CA01, tolbutamide, The metabolism of Domperidone can be decreased when combined with Tolbutamide.]
[N02AX02, tramadol, The therapeutic efficacy of Domperidone can be decreased when used in combination with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Tranylcypromine is combined with Domperidone.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Domperidone.]
[L01XF01, tretinoin, The metabolism of Domperidone can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Domperidone can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Domperidone can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The metabolism of Domperidone can be decreased when combined with Triazolam.]
