[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ondansetron.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ondansetron.]
[J01EC02, sulfadiazine, The metabolism of Ondansetron can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Ondansetron can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Ondansetron can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Ondansetron can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Ondansetron can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Ondansetron can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Ondansetron.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Ondansetron.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Ondansetron.]
[N06DA01, tacrine, The metabolism of Ondansetron can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ondansetron.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Ondansetron.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Ondansetron.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Ondansetron.]
[G03BA03, testosterone, The metabolism of Ondansetron can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Apomorphine.]
[L04AX02, thalidomide, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Ondansetron.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Ondansetron.]
[P02CA02, thiabendazole, The metabolism of Ondansetron can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Ondansetron.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Ondansetron.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Ondansetron.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Ondansetron is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Ondansetron.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ondansetron can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Ondansetron.]
[A10BB05, tolazamide, The metabolism of Ondansetron can be decreased when combined with Tolazamide.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Ondansetron.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Ondansetron can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Ondansetron.]
[L01XF01, tretinoin, The metabolism of Ondansetron can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Ondansetron can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Ondansetron can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Ondansetron.]
[A03AB12, mepenzolate, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ondansetron.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Trifluperidol.]
[N05AA05, triflupromazine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Ondansetron can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Ondansetron.]
[J01EA01, trimethoprim, The metabolism of Ondansetron can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Ondansetron.]
[R06AC04, tripelennamine, The metabolism of Ondansetron can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Ondansetron.]
[A03BB01, butylscopolamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Ondansetron can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Ondansetron can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Ondansetron.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Ondansetron.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Ondansetron can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Ondansetron can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ondansetron can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ondansetron can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Ondansetron can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Ondansetron.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Ondansetron.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Ondansetron.]
[C08DA01, verapamil, The metabolism of Ondansetron can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ondansetron can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Ondansetron can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Ondansetron.]
[B01AA03, warfarin, The metabolism of Ondansetron can be decreased when combined with Warfarin.]
[J05AF01, zidovudine, The metabolism of Ondansetron can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Ondansetron can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Ondansetron can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Ondansetron.]
[R03DC01, zafirlukast, The metabolism of Ondansetron can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Ondansetron.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Ondansetron.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Ondansetron.]
[G04BD07, tolterodine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The metabolism of Ondansetron can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The metabolism of Ondansetron can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Ondansetron can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Ondansetron is combined with Atracurium.]
[S01FA01, atropine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ondansetron.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ondansetron.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Ondansetron.]
[H02AB11, prednylidene, The metabolism of Ondansetron can be increased when combined with Prednylidene.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Ondansetron.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ondansetron.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A08AA11, lorcaserin, The metabolism of Ondansetron can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Ondansetron can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Ondansetron can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ondansetron can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Ondansetron can be decreased when it is combined with Enzalutamide.]
[L04AA31, teriflunomide, The serum concentration of Ondansetron can be decreased when it is combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Ondansetron can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Ondansetron is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Ondansetron can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Ondansetron.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Ondansetron is combined with Rasagiline.]
[C08CA13, lercanidipine, The metabolism of Ondansetron can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Ondansetron is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Ondansetron.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Ondansetron.]
[R06AC06, thonzylamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Ondansetron can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Ondansetron is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Ondansetron.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Ondansetron.]
[G04BE03, sildenafil, The metabolism of Ondansetron can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ondansetron.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Ondansetron.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Ondansetron.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Ondansetron.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Ondansetron can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Ondansetron is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ondansetron can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Ondansetron can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ondansetron.]
[A06AX06, tegaserod, The metabolism of Ondansetron can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Ondansetron can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Ondansetron is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Ondansetron can be decreased when combined with Everolimus.]
[N04AC01, benztropine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Ondansetron can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Ondansetron is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ondansetron.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Ondansetron can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Ondansetron can be decreased when combined with Dapagliflozin.]
[C07AB04, acebutolol, The metabolism of Ondansetron can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Ondansetron is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Ondansetron can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Ondansetron can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Ondansetron can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Ondansetron can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Ondansetron can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Ceritinib.]
[A03BA03, hyoscyamine, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Ondansetron.]
[L01XH04, belinostat, The metabolism of Ondansetron can be increased when combined with Belinostat.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Ondansetron is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ondansetron.]
[D11AA01, glycopyrronium, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Ondansetron can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Ondansetron can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Ondansetron is combined with Acepromazine.]
[N04AA02, biperiden, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Ondansetron.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ondansetron.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Ondansetron.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Ondansetron is combined with Dicoumarol.]
[N06AX11, mirtazapine, Ondansetron may increase the serotonergic activities of Mirtazapine.]
