[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dolasetron.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dolasetron.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Dolasetron.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Dolasetron.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Dolasetron.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Dolasetron.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Dolasetron.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Dolasetron.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N04BC07, apomorphine, The risk or severity of hypotension can be increased when Dolasetron is combined with Apomorphine.]
[L04AX02, thalidomide, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Dolasetron.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Dolasetron.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Dolasetron.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Dolasetron.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Dolasetron is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Dolasetron.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Dolasetron can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Dolasetron.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Tramadol.]
