[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dronabinol.]
[M03AB01, succinylcholine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[J01EC02, sulfadiazine, The serum concentration of Dronabinol can be increased when it is combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The serum concentration of Dronabinol can be increased when it is combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The serum concentration of Dronabinol can be increased when it is combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The serum concentration of Dronabinol can be increased when it is combined with Sulfamoxole.]
[J01EB06, sulfanilamide, The serum concentration of Dronabinol can be increased when it is combined with Sulfanilamide.]
[J01EB04, sulfapyridine, The serum concentration of Dronabinol can be increased when it is combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Dronabinol can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The serum concentration of Dronabinol can be increased when it is combined with Sulfisoxazole.]
[N05AL01, sulpiride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sulpiride.]
[N03AX03, sulthiame, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sulthiame.]
[M01AE07, suprofen, The serum concentration of Dronabinol can be increased when it is combined with Suprofen.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Dronabinol.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Dronabinol.]
[L02BA01, tamoxifen, The serum concentration of Dronabinol can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Temazepam.]
[L01CB02, teniposide, The serum concentration of Dronabinol can be increased when it is combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Terbutaline.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Dronabinol.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Dronabinol.]
[S01HA03, tetracaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tetracaine.]
[S03AA02, tetracycline, The serum concentration of Dronabinol can be increased when it is combined with Tetracycline.]
[N05AE05, lurasidone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[N04BC07, apomorphine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[L04AX02, thalidomide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Dronabinol.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Dronabinol.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Dronabinol.]
[R06AD03, thiethylperazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thiethylperazine.]
[N05CA19, thiopental, The serum concentration of Dronabinol can be increased when it is combined with Thiopental.]
[N05AB08, thioproperazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thioproperazine.]
[N05AC02, thioridazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thioridazine.]
[N05AF04, thiothixene, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Dronabinol.]
[N05AL03, tiapride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Dronabinol.]
[N02AX01, tilidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Dronabinol.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Dronabinol.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Dronabinol.]
[M03BX04, tolperisone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Dronabinol is combined with Tramadol.]
[N06AF04, tranylcypromine, The serum concentration of Dronabinol can be increased when it is combined with Tranylcypromine.]
[N06AX05, trazodone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trazodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Dronabinol.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Dronabinol.]
[N05CD05, triazolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Triazolam.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia and drowsiness can be increased when Mepenzolate is combined with Dronabinol.]
[N05AB06, trifluoperazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N05AD02, trifluperidol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trifluperidol.]
[N05AA05, triflupromazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia and drowsiness can be increased when Trihexyphenidyl is combined with Dronabinol.]
[A03AA05, trimebutine, The risk or severity of Tachycardia and drowsiness can be increased when Trimebutine is combined with Dronabinol.]
[R06AD01, trimeprazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alimemazine.]
[N03AC02, trimethadione, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Dronabinol.]
[N06AA06, trimipramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trimipramine.]
[R06AX07, triprolidine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Triprolidine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia and drowsiness can be increased when Butylscopolamine is combined with Dronabinol.]
[J01FA08, troleandomycin, The serum concentration of Dronabinol can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vilazodone.]
[N06AX02, tryptophan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tryptophan.]
[M03AA02, tubocurarine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Dronabinol.]
[L02BX03, abiraterone, The serum concentration of Dronabinol can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Dronabinol can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Dronabinol can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Dronabinol can be increased when it is combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Dronabinol can be increased when it is combined with Rilpivirine.]
[N03AX21, ezogabine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ezogabine.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Dronabinol can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Dronabinol can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The serum concentration of Dronabinol can be increased when it is combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Dronabinol can be increased when it is combined with Vinblastine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Dronabinol.]
[S01AA13, fusidic acid, The serum concentration of Dronabinol can be increased when it is combined with Fusidic acid.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Dronabinol.]
[N05AF05, zuclopenthixol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zuclopenthixol.]
[J05AE02, indinavir, The serum concentration of Dronabinol can be increased when it is combined with Indinavir.]
[N03AX14, levetiracetam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Dronabinol can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The serum concentration of Dronabinol can be increased when it is combined with Brentuximab vedotin.]
