[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nabilone.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Nabilone.]
[M03AB01, succinylcholine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[J01EC02, sulfadiazine, The metabolism of Nabilone can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Nabilone can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Nabilone can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Nabilone can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Nabilone can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Nabilone can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Nabilone can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sulpiride.]
[N03AX03, sulthiame, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Nabilone.]
[L02BA01, tamoxifen, The metabolism of Nabilone can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Temazepam.]
[L01CB02, teniposide, The metabolism of Nabilone can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Terbutaline.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Nabilone.]
[S01HA03, tetracaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tetracaine.]
[N05AE05, lurasidone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[N04BC07, apomorphine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[L04AX02, thalidomide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AD03, thiethylperazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiethylperazine.]
[N05CA19, thiopental, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[N05AB08, thioproperazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thioproperazine.]
[N05AC02, thioridazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thioridazine.]
[N05AF04, thiothixene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N05AL03, tiapride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tiapride.]
[B01AC05, ticlopidine, The metabolism of Nabilone can be decreased when combined with Ticlopidine.]
