[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Obeticholic acid.]
[B01AD01, streptokinase, The risk or severity of bleeding and bruising can be increased when Streptokinase is combined with Obeticholic acid.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M04AB02, sulfinpyrazone, The risk or severity of adverse effects can be increased when Sulfinpyrazone is combined with Obeticholic acid.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Obeticholic acid.]
[L02BA01, tamoxifen, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Tamoxifen.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and bruising can be increased when Dabigatran etexilate is combined with Obeticholic acid.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Obeticholic acid.]
[R03DA04, theophylline, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Obeticholic acid.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Obeticholic acid.]
[B01AC05, ticlopidine, The risk or severity of adverse effects can be increased when Ticlopidine is combined with Obeticholic acid.]
[C01DX11, trapidil, The risk or severity of adverse effects can be increased when Trapidil is combined with Obeticholic acid.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Obeticholic acid.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Obeticholic acid.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Obeticholic acid.]
[B01AD04, urokinase, The risk or severity of bleeding and bruising can be increased when Urokinase is combined with Obeticholic acid.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and bruising can be increased when Rivaroxaban is combined with Obeticholic acid.]
[B01AC24, ticagrelor, The risk or severity of adverse effects can be increased when Ticagrelor is combined with Obeticholic acid.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Obeticholic acid.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Obeticholic acid.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be decreased when used in combination with Obeticholic acid.]
[B01AE01, desirudin, The risk or severity of bleeding and bruising can be increased when Lepirudin is combined with Obeticholic acid.]
[G03AC10, drospirenone, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of adverse effects can be increased when Acetylsalicylic acid is combined with Obeticholic acid.]
[L01EK01, axitinib, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Axitinib.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Obeticholic acid.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Obeticholic acid.]
[B01AX01, defibrotide, The risk or severity of adverse effects can be increased when Defibrotide is combined with Obeticholic acid.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Obeticholic acid.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Obeticholic acid.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Obeticholic acid.]
[B01AF02, apixaban, The risk or severity of bleeding and bruising can be increased when Apixaban is combined with Obeticholic acid.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Pomalidomide.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Obeticholic acid.]
[M01AH01, celecoxib, The risk or severity of adverse effects can be increased when Celecoxib is combined with Obeticholic acid.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Obeticholic acid resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Obeticholic acid.]
[A05AA03, cholic acid, The risk or severity of adverse effects can be increased when Cholic Acid is combined with Obeticholic acid.]
[J05AP05, simeprevir, The risk or severity of adverse effects can be increased when Simeprevir is combined with Obeticholic acid.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Obeticholic acid.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Obeticholic acid.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Obeticholic acid.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Obeticholic acid.]
[B01AE03, argatroban, The risk or severity of bleeding and bruising can be increased when Argatroban is combined with Obeticholic acid.]
[C10AB02, bezafibrate, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Bezafibrate.]
[B01AC26, vorapaxar, The risk or severity of adverse effects can be increased when Vorapaxar is combined with Obeticholic acid.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be decreased when used in combination with Obeticholic acid.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Obeticholic acid.]
[B01AA01, dicumarol, The risk or severity of bleeding and bruising can be increased when Dicoumarol is combined with Obeticholic acid.]
[B01AF03, edoxaban, The risk or severity of bleeding and bruising can be increased when Edoxaban is combined with Obeticholic acid.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Obeticholic acid.]
[L01EX08, lenvatinib, The risk or severity of adverse effects can be increased when Lenvatinib is combined with Obeticholic acid.]
