[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Tixocortol.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Antipyrine.]
[A14AA02, stanozolol, The risk or severity of fluid retention can be increased when Tixocortol is combined with Stanozolol.]
[G03XB02, ulipristal, The serum concentration of Tixocortol can be increased when it is combined with Ulipristal.]
[J01GA01, streptomycin, Tixocortol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Tixocortol.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Tixocortol.]
[L04AA27, fingolimod, Tixocortol may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Tixocortol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01CG01, sulbactam, Tixocortol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Tixocortol.]
[S01AB02, sulfisoxazole, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Sulindac.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be decreased when used in combination with Tixocortol.]
[A10BB04, glibornuride, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Tixocortol.]
[N06DA01, tacrine, The therapeutic efficacy of Tacrine can be decreased when used in combination with Tixocortol.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Tixocortol.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Tixocortol.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03BA03, testosterone, The risk or severity of edema formation can be increased when Testosterone is combined with Tixocortol.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Tixocortol.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Tixocortol.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiotepa can be decreased when used in combination with Tixocortol.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Tixocortol.]
[B02AB01, aprotinin, The therapeutic efficacy of Aprotinin can be decreased when used in combination with Tixocortol.]
[G04BE06, moxisylyte, Tixocortol may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Tixocortol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA12, tobramycin, Tixocortol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Tolmetin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Tixocortol.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Tixocortol.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Tixocortol.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Tixocortol.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Tixocortol.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Tixocortol is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Tixocortol.]
[A03AA05, trimebutine, Trimebutine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Tixocortol.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Tixocortol.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Tixocortol.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Tixocortol.]
[R02AA14, oxyquinoline, Tixocortol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Linagliptin.]
[S01AA28, vancomycin, Tixocortol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Tixocortol.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
