[S02DA03, antipyrine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Streptokinase.]
[J01GA01, streptomycin, Olsalazine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Olsalazine.]
[A02BX02, sucralfate, Olsalazine may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Olsalazine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Olsalazine may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Olsalazine may increase the hypoglycemic activities of Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Olsalazine is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Olsalazine may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Sulindac.]
[M01AE07, suprofen, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Suprofen.]
[A10BB04, glibornuride, Olsalazine may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Olsalazine may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Olsalazine.]
[N05CD07, temazepam, Olsalazine may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Olsalazine.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Dabigatran etexilate.]
[G03BA03, testosterone, Olsalazine may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, Olsalazine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Ceftaroline fosamil.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Olsalazine is combined with Lurasidone.]
[P02CA02, thiabendazole, Olsalazine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Olsalazine may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01BB03, thioguanine, The metabolism of Tioguanine can be decreased when combined with Olsalazine.]
[N05AB08, thioproperazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of hypertension can be increased when Thioridazine is combined with Olsalazine.]
