[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fenfluramine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Fenfluramine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fenfluramine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Fenfluramine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Sulthiame.]
[L01BB02, mercaptopurine, Fenfluramine may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA01, tacrine, The metabolism of Fenfluramine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Fenfluramine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Fenfluramine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Fenfluramine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Tetracaine.]
[N05AE05, lurasidone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N04BC07, apomorphine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Fenfluramine.]
[L04AX02, thalidomide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Fenfluramine may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Fenfluramine.]
[P02CA02, thiabendazole, The metabolism of Fenfluramine can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Fenfluramine.]
[L01AC01, thiotepa, The metabolism of Fenfluramine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of serotonin syndrome can be increased when Thioridazine is combined with Fenfluramine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Fenfluramine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Fenfluramine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Fenfluramine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Fenfluramine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Fenfluramine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Fenfluramine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Fenfluramine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Fenfluramine.]
[C03DB02, triamterene, The metabolism of Fenfluramine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Triazolam.]
[A03AB12, mepenzolate, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
