[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Insulin glulisine.]
[S01AB04, sulfacetamide, The risk or severity of hypoglycemia can be increased when Sulfacetamide is combined with Insulin glulisine.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Insulin glulisine.]
[J01ED01, sulfadimethoxine, The risk or severity of hypoglycemia can be increased when Sulfadimethoxine is combined with Insulin glulisine.]
[A07AB03, sulfaguanidine, The risk or severity of hypoglycemia can be increased when Sulfaguanidine is combined with Insulin glulisine.]
[J01ED02, sulfalene, The risk or severity of hypoglycemia can be increased when Sulfametopyrazine is combined with Insulin glulisine.]
[J01ED07, sulfamerazine, The risk or severity of hypoglycemia can be increased when Sulfamerazine is combined with Insulin glulisine.]
[J01EB03, sulfamethazine, The risk or severity of hypoglycemia can be increased when Sulfamethazine is combined with Insulin glulisine.]
[S01AB01, sulfamethizole, The risk or severity of hypoglycemia can be increased when Sulfamethizole is combined with Insulin glulisine.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Insulin glulisine.]
[J01ED05, sulfamethoxypyridazine, The risk or severity of hypoglycemia can be increased when Sulfamethoxypyridazine is combined with Insulin glulisine.]
[J01EC03, sulfamoxole, The risk or severity of hypoglycemia can be increased when Sulfamoxole is combined with Insulin glulisine.]
[J01EB06, sulfanilamide, The risk or severity of hypoglycemia can be increased when Sulfanilamide is combined with Insulin glulisine.]
[J01EB04, sulfapyridine, The risk or severity of hypoglycemia can be increased when Sulfapyridine is combined with Insulin glulisine.]
[J01EB07, sulfathiazole, The risk or severity of hypoglycemia can be increased when Sulfathiazole is combined with Insulin glulisine.]
[J01EB01, sulfisomidine, The risk or severity of hypoglycemia can be increased when Sulfaisodimidine is combined with Insulin glulisine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Insulin glulisine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Glibornuride is combined with Insulin glulisine.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Glymidine is combined with Insulin glulisine.]
[R03CC03, terbutaline, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Terbutaline.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Insulin glulisine.]
[N05AE05, lurasidone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Lurasidone.]
[R03DA07, theobromine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Theobromine.]
[R06AD03, thiethylperazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Thiethylperazine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Thioridazine.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Protirelin.]
[S01ED01, timolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Tolazamide is combined with Insulin glulisine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Tolbutamide is combined with Insulin glulisine.]
[N06AF04, tranylcypromine, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin glulisine.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Insulin glulisine.]
[C03DB02, triamterene, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Triamterene.]
[C03AA06, trichlormethiazide, The risk or severity of hypoglycemia can be increased when Trichlormethiazide is combined with Insulin glulisine.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Insulin glulisine.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Insulin glulisine.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Insulin glulisine.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Insulin glulisine.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Insulin glulisine.]
[R06AD01, trimeprazine, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Insulin glulisine.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Insulin glulisine.]
[C09CA09, azilsartan medoxomil, The risk or severity of hypoglycemia can be increased when Azilsartan medoxomil is combined with Insulin glulisine.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Linagliptin is combined with Insulin glulisine.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Insulin glulisine.]
[C03BA10, xipamide, The risk or severity of hypoglycemia can be increased when Xipamide is combined with Insulin glulisine.]
[J05AE02, indinavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of hypoglycemia can be increased when Vemurafenib is combined with Insulin glulisine.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Insulin glulisine.]
[C07AB03, atenolol, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Atenolol.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Insulin glulisine.]
[M03BX01, baclofen, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Baclofen.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Insulin glulisine.]
[J05AE04, nelfinavir, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, The risk or severity of hypoglycemia can be increased when Rasagiline is combined with Insulin glulisine.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Insulin glulisine.]
[H01CB05, pasireotide, The risk or severity of hypoglycemia can be increased when Pasireotide is combined with Insulin glulisine.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Insulin glulisine.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Alogliptin is combined with Insulin glulisine.]
[C03AA01, bendroflumethiazide, The risk or severity of hypoglycemia can be increased when Bendroflumethiazide is combined with Insulin glulisine.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Canagliflozin is combined with Insulin glulisine.]
