[S02DA03, antipyrine, The protein binding of Chlorpropamide can be decreased when combined with Antipyrine.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Chlorpropamide.]
[G03XB02, ulipristal, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Ulipristal.]
[J01GA01, streptomycin, Chlorpropamide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01CG01, sulbactam, Chlorpropamide may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Chlorpropamide.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Chlorpropamide can be decreased when combined with Sulfinpyrazone.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Chlorpropamide.]
[M01AB02, sulindac, The protein binding of Chlorpropamide can be decreased when combined with Sulindac.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Glymidine.]
[M01AX04, apazone, The protein binding of Chlorpropamide can be decreased when combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Chlorpropamide can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Chlorpropamide can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Chlorpropamide may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Chlorpropamide may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Chlorpropamide.]
[S03AA02, tetracycline, Chlorpropamide may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AE05, lurasidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Chlorpropamide can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Chlorpropamide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Chlorpropamide may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Thiethylperazine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Thioproperazine.]
