[S02DA03, antipyrine, The protein binding of Gliclazide can be decreased when combined with Antipyrine.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Gliclazide.]
[G03XB02, ulipristal, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ulipristal.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Gliclazide.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Gliclazide.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Gliclazide can be decreased when combined with Sulfinpyrazone.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Gliclazide.]
[M01AB02, sulindac, The protein binding of Gliclazide can be decreased when combined with Sulindac.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Glymidine.]
[M01AX04, apazone, The protein binding of Gliclazide can be decreased when combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Gliclazide can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Gliclazide can be decreased when combined with Teniposide.]
[G03BA03, testosterone, The metabolism of Gliclazide can be decreased when combined with Testosterone.]
[N05AE05, lurasidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Gliclazide can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The metabolism of Gliclazide can be decreased when combined with Thalidomide.]
[R06AD03, thiethylperazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Thiethylperazine.]
[N05CA19, thiopental, The metabolism of Gliclazide can be decreased when combined with Thiopental.]
[N05AB08, thioproperazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Thioridazine.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Protirelin.]
[B01AC05, ticlopidine, The metabolism of Gliclazide can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Tolazamide is combined with Gliclazide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Tolbutamide.]
[M02AA21, tolmetin, The protein binding of Gliclazide can be decreased when combined with Tolmetin.]
[N06AF04, tranylcypromine, The metabolism of Gliclazide can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The metabolism of Gliclazide can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Gliclazide.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Trichlormethiazide.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Gliclazide.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Gliclazide.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Gliclazide.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Gliclazide.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Gliclazide.]
[R06AD01, trimeprazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Alimemazine.]
[N03AC02, trimethadione, The metabolism of Gliclazide can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Gliclazide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Gliclazide.]
[D05BA01, trioxsalen, The therapeutic efficacy of Gliclazide can be increased when used in combination with Trioxsalen.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Gliclazide.]
[A10BH05, linagliptin, Linagliptin may increase the hypoglycemic activities of Gliclazide.]
[J05AG05, rilpivirine, The metabolism of Gliclazide can be decreased when combined with Rilpivirine.]
[B01AC24, ticagrelor, The metabolism of Gliclazide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Gliclazide can be decreased when combined with Verapamil.]
[B01AA03, warfarin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Warfarin.]
[C03BA10, xipamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The metabolism of Gliclazide can be decreased when combined with Zidovudine.]
[J05AE02, indinavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Gliclazide can be increased when used in combination with Vemurafenib.]
[R03DC01, zafirlukast, The metabolism of Gliclazide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Gliclazide can be decreased when combined with Rabeprazole.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Gliclazide.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Gliclazide.]
[G04BD07, tolterodine, The metabolism of Gliclazide can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The serum concentration of Gliclazide can be increased when it is combined with Voriconazole.]
