[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Empagliflozin.]
[J01EC02, sulfadiazine, Empagliflozin may increase the hypoglycemic activities of Sulfadiazine.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, Empagliflozin may increase the hypoglycemic activities of Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfapyridine.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, Empagliflozin may increase the hypoglycemic activities of Sulfisoxazole.]
[A10BB04, glibornuride, Empagliflozin may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Empagliflozin may increase the hypoglycemic activities of Glymidine.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Empagliflozin.]
[N05AE05, lurasidone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Empagliflozin.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Empagliflozin.]
[R03DA07, theobromine, Empagliflozin may increase the diuretic activities of Theobromine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Empagliflozin.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Empagliflozin.]
[S01ED01, timolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, Empagliflozin may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Tolazoline is combined with Empagliflozin.]
[V04CA01, tolbutamide, Empagliflozin may increase the hypoglycemic activities of Tolbutamide.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Empagliflozin.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Empagliflozin.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Empagliflozin.]
