[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rosiglitazone.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Rosiglitazone.]
[J01GA01, streptomycin, Rosiglitazone may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Rosiglitazone.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01CG01, sulbactam, Rosiglitazone may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Rosiglitazone.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Rosiglitazone can be decreased when combined with Sulfinpyrazone.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Rosiglitazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Rosiglitazone.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Glymidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Rosiglitazone.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Rosiglitazone can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Rosiglitazone may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
