[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Pioglitazone.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Pioglitazone.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Pioglitazone.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Pioglitazone.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfapyridine.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Pioglitazone.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Pioglitazone.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Glymidine.]
[L02BA01, tamoxifen, The metabolism of Pioglitazone can be decreased when combined with Tamoxifen.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Pioglitazone.]
[N05AE05, lurasidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Lurasidone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Pioglitazone.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Pioglitazone.]
[B01AC05, ticlopidine, The metabolism of Pioglitazone can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Pioglitazone.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Pioglitazone.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypoglycemic activities of Pioglitazone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Pioglitazone.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Pioglitazone.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Trichlormethiazide.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Pioglitazone.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Pioglitazone.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Pioglitazone.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Pioglitazone.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Pioglitazone.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Pioglitazone.]
[J01EA01, trimethoprim, The metabolism of Pioglitazone can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Pioglitazone.]
[J01FA08, troleandomycin, The metabolism of Pioglitazone can be decreased when combined with Troleandomycin.]
