[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Dulaglutide.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Dulaglutide.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Dulaglutide.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Dulaglutide.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfapyridine.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Dulaglutide.]
[A10BB04, glibornuride, Dulaglutide may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Glymidine.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Dulaglutide.]
[N05AE05, lurasidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Lurasidone.]
[S01ED01, timolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, Dulaglutide may increase the hypoglycemic activities of Tolazamide.]
[V04CA01, tolbutamide, Dulaglutide may increase the hypoglycemic activities of Tolbutamide.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypoglycemic activities of Dulaglutide.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Dulaglutide.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Trichlormethiazide.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Dulaglutide.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Dulaglutide.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Dulaglutide.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Dulaglutide.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Dulaglutide.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Dulaglutide.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Dulaglutide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Dulaglutide.]
[L01FX04, ipilimumab, The risk or severity of adverse effects can be increased when Ipilimumab is combined with Dulaglutide.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Linagliptin is combined with Dulaglutide.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Dulaglutide.]
[C03BA10, xipamide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Xipamide.]
[J05AE02, indinavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Brentuximab vedotin is combined with Dulaglutide.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Drospirenone.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Dulaglutide.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Dulaglutide.]
[C07AB03, atenolol, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Atenolol.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Dulaglutide.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Dulaglutide.]
[M03BX01, baclofen, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Baclofen.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Dulaglutide.]
[L01FD02, pertuzumab, The risk or severity of adverse effects can be increased when Pertuzumab is combined with Dulaglutide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Dulaglutide.]
[J05AE04, nelfinavir, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Nelfinavir.]
