[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Dapagliflozin.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Dapagliflozin.]
[J01GA01, streptomycin, Dapagliflozin may increase the excretion rate of Streptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BX02, sucralfate, Dapagliflozin may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Dapagliflozin may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, Dapagliflozin may increase the hypoglycemic activities of Sulfadiazine.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, Dapagliflozin may increase the hypoglycemic activities of Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Dapagliflozin can be decreased when combined with Sulfinpyrazone.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, Dapagliflozin may increase the hypoglycemic activities of Sulfisoxazole.]
[A10BB04, glibornuride, Dapagliflozin may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Dapagliflozin may increase the hypoglycemic activities of Glymidine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Dapagliflozin.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Dapagliflozin.]
[N05CD07, temazepam, Dapagliflozin may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB02, teniposide, The metabolism of Dapagliflozin can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Dapagliflozin may increase the excretion rate of Terbutaline which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AE07, dabigatran etexilate, Dapagliflozin may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Dapagliflozin may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX06, tetrabenazine, The metabolism of Dapagliflozin can be decreased when combined with Tetrabenazine.]
[S03AA02, tetracycline, Dapagliflozin may increase the excretion rate of Tetracycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AE05, lurasidone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Dapagliflozin can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dapagliflozin.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Dapagliflozin.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Dapagliflozin.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Dapagliflozin.]
[P02CA02, thiabendazole, Dapagliflozin may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Dapagliflozin may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Dapagliflozin.]
[N05AC02, thioridazine, The metabolism of Dapagliflozin can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Dapagliflozin.]
[C01BB04, aprindine, The metabolism of Dapagliflozin can be decreased when combined with Aprindine.]
[G04BE06, moxisylyte, Dapagliflozin may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Dapagliflozin may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Dapagliflozin may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Dapagliflozin may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, Dapagliflozin may increase the excretion rate of Tobramycin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB05, tolazamide, Dapagliflozin may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Tolazoline is combined with Dapagliflozin.]
[V04CA01, tolbutamide, Dapagliflozin may increase the hypoglycemic activities of Tolbutamide.]
[N02AX02, tramadol, Dapagliflozin may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, The metabolism of Dapagliflozin can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Dapagliflozin can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Dapagliflozin can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Dapagliflozin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Dapagliflozin.]
[N05CD05, triazolam, Dapagliflozin may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Dapagliflozin may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Dapagliflozin.]
[S01AD02, trifluridine, Dapagliflozin may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Dapagliflozin.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Dapagliflozin.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Dapagliflozin.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Dapagliflozin.]
[A03AA05, trimebutine, Dapagliflozin may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Dapagliflozin.]
[C02BA01, trimethaphan, Dapagliflozin may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Dapagliflozin may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Dapagliflozin.]
[R06AC04, tripelennamine, The metabolism of Dapagliflozin can be decreased when combined with Tripelennamine.]
[J01FA08, troleandomycin, The metabolism of Dapagliflozin can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Dapagliflozin can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Azilsartan medoxomil.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Dapagliflozin.]
[L01FX04, ipilimumab, Dapagliflozin may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA14, oxyquinoline, Dapagliflozin may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BX03, abiraterone, The serum concentration of Dapagliflozin can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, Dapagliflozin may increase the hypoglycemic activities of Linagliptin.]
