[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Repaglinide.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Repaglinide.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Repaglinide.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Sulfamethoxazole.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfapyridine.]
[M04AB02, sulfinpyrazone, Repaglinide may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Repaglinide.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Glymidine.]
[L02BA01, tamoxifen, Tamoxifen may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Repaglinide.]
[N05AE05, lurasidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Lurasidone.]
[N04BC07, apomorphine, The metabolism of Repaglinide can be decreased when combined with Apomorphine.]
[R03DA04, theophylline, The metabolism of Repaglinide can be decreased when combined with Theophylline.]
[B01AC05, ticlopidine, The metabolism of Repaglinide can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Tolazamide is combined with Repaglinide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Tolbutamide.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypoglycemic activities of Repaglinide.]
[L01XF01, tretinoin, The metabolism of Repaglinide can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Repaglinide.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Trichlormethiazide.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Repaglinide.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Repaglinide.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Repaglinide.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Repaglinide.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Repaglinide.]
[N03AC02, trimethadione, The metabolism of Repaglinide can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The serum concentration of Repaglinide can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Repaglinide.]
[J01FA08, troleandomycin, The serum concentration of Repaglinide can be increased when it is combined with Troleandomycin.]
[L02BX03, abiraterone, The metabolism of Repaglinide can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Repaglinide can be decreased when combined with Boceprevir.]
