[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Tirzepatide.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Tirzepatide.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Tirzepatide.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfapyridine.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Tirzepatide.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Glibornuride is combined with Tirzepatide.]
[A10BC01, glymidine, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Glymidine.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Tirzepatide.]
[N05AE05, lurasidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Lurasidone.]
[S01ED01, timolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Tolazamide is combined with Tirzepatide.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Tolbutamide is combined with Tirzepatide.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypoglycemic activities of Tirzepatide.]
[S01BA05, triamcinolone, The risk or severity of hyperglycemia can be increased when Triamcinolone is combined with Tirzepatide.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Trichlormethiazide.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Tirzepatide.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Tirzepatide.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Tirzepatide.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Tirzepatide.]
[A03AA05, trimebutine, The risk or severity of hypoglycemia can be increased when Trimebutine is combined with Tirzepatide.]
[N03AC02, trimethadione, The risk or severity of hypoglycemia can be increased when Trimethadione is combined with Tirzepatide.]
[N06AA06, trimipramine, Trimipramine may decrease the hypoglycemic activities of Tirzepatide.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Linagliptin is combined with Tirzepatide.]
[C08DA01, verapamil, The risk or severity of hypoglycemia can be increased when Verapamil is combined with Tirzepatide.]
[C03BA10, xipamide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Xipamide.]
[J05AE02, indinavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Vemurafenib.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, Tirzepatide can cause a decrease in the absorption of Drospirenone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Tirzepatide.]
[C07AB03, atenolol, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Atenolol.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Tirzepatide.]
[M03BX01, baclofen, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Baclofen.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Tirzepatide.]
[J05AE04, nelfinavir, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Tirzepatide.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Tirzepatide.]
[H01CB05, pasireotide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Pasireotide.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Tirzepatide.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Alogliptin is combined with Tirzepatide.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Bendroflumethiazide.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Tirzepatide.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Gemifloxacin.]
