[A02BX02, sucralfate, The serum concentration of Sucralfate can be increased when it is combined with Alfacalcidol.]
[S01BA05, triamcinolone, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Triamcinolone.]
[C03AA06, trichlormethiazide, The risk or severity of hypercalcemia can be increased when Trichlormethiazide is combined with Alfacalcidol.]
[D07AC02, fluclorolone, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Fluclorolone.]
[R03BA07, mometasone, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Mometasone.]
[H05BX03, doxercalciferol, The risk or severity of adverse effects can be increased when Alfacalcidol is combined with Doxercalciferol.]
[H02AB11, prednylidene, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Prednylidene.]
[A02AA05, magnesium silicate, The serum concentration of Magnesium silicate can be increased when it is combined with Alfacalcidol.]
[H02AA01, aldosterone, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Aldosterone.]
[C01AA01, acetyldigitoxin, The risk or severity of ventricular arrhythmias and Cardiac Arrhythmia can be increased when Alfacalcidol is combined with Acetyldigitoxin.]
[C03AA01, bendroflumethiazide, The risk or severity of hypercalcemia can be increased when Bendroflumethiazide is combined with Alfacalcidol.]
[A12CC09, magnesium orotate, The serum concentration of Magnesium orotate can be increased when it is combined with Alfacalcidol.]
[C10AC04, colesevelam, The serum concentration of Alfacalcidol can be decreased when it is combined with Colesevelam.]
[A12CC05, magnesium aspartate, The serum concentration of Magnesium aspartate can be increased when it is combined with Alfacalcidol.]
[S03BA03, betamethasone, The therapeutic efficacy of Alfacalcidol can be decreased when used in combination with Betamethasone.]
[A06AD03, magnesium peroxide, The serum concentration of Magnesium peroxide can be increased when it is combined with Alfacalcidol.]
[H05BX05, calcifediol, The risk or severity of adverse effects can be increased when Calcifediol is combined with Alfacalcidol.]
[D05AX03, calcitriol, The risk or severity of adverse effects can be increased when Calcitriol is combined with Alfacalcidol.]
[A12AA04, calcium carbonate, The risk or severity of adverse effects can be increased when Alfacalcidol is combined with Calcium carbonate.]
[G04BA03, calcium chloride, The risk or severity of adverse effects can be increased when Alfacalcidol is combined with Calcium chloride.]
[D11AX03, calcium gluconate, The risk or severity of adverse effects can be increased when Alfacalcidol is combined with Calcium gluconate.]
