[J01EC02, sulfadiazine, Oxymetholone may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Oxymetholone may increase the hypoglycemic activities of Sulfamethoxazole.]
[S01AB02, sulfisoxazole, Oxymetholone may increase the hypoglycemic activities of Sulfisoxazole.]
[A10BB04, glibornuride, Oxymetholone may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Oxymetholone may increase the hypoglycemic activities of Glymidine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Oxymetholone.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Oxymetholone.]
[A10BB05, tolazamide, Oxymetholone may increase the hypoglycemic activities of Tolazamide.]
[V04CA01, tolbutamide, Oxymetholone may increase the hypoglycemic activities of Tolbutamide.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Oxymetholone.]
[S01BA05, triamcinolone, The risk or severity of fluid retention can be increased when Triamcinolone is combined with Oxymetholone.]
[D07AC02, fluclorolone, The risk or severity of fluid retention can be increased when Fluclorolone is combined with Oxymetholone.]
[R03BA07, mometasone, The risk or severity of fluid retention can be increased when Mometasone is combined with Oxymetholone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Oxymetholone.]
[A10BH05, linagliptin, Oxymetholone may increase the hypoglycemic activities of Linagliptin.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Oxymetholone.]
[H02AB11, prednylidene, The risk or severity of fluid retention can be increased when Prednylidene is combined with Oxymetholone.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Oxymetholone.]
[H02AA01, aldosterone, The risk or severity of fluid retention can be increased when Aldosterone is combined with Oxymetholone.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Oxymetholone.]
[A10BH04, alogliptin, Oxymetholone may increase the hypoglycemic activities of Alogliptin.]
[A10BK02, canagliflozin, Oxymetholone may increase the hypoglycemic activities of Canagliflozin.]
[A10AE05, insulin detemir, Oxymetholone may increase the hypoglycemic activities of Insulin detemir.]
[A10BX05, pramlintide, Oxymetholone may increase the hypoglycemic activities of Pramlintide.]
[A10BJ03, lixisenatide, Oxymetholone may increase the hypoglycemic activities of Lixisenatide.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Oxymetholone.]
[A10BK01, dapagliflozin, Oxymetholone may increase the hypoglycemic activities of Dapagliflozin.]
