[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Givosiran.]
[J01GA01, streptomycin, Givosiran may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Givosiran may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Givosiran may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Givosiran may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Givosiran may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of nephrotoxicity can be increased when Sulindac is combined with Givosiran.]
[M01AX04, apazone, The risk or severity of nephrotoxicity can be increased when Azapropazone is combined with Givosiran.]
[N06DA01, tacrine, The serum concentration of Tacrine can be increased when it is combined with Givosiran.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be increased when it is combined with Givosiran.]
[N05CD07, temazepam, Givosiran may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, Givosiran may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Givosiran may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Givosiran may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The serum concentration of Tetrabenazine can be increased when it is combined with Givosiran.]
[S03AA02, tetracycline, Givosiran may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Ceftaroline fosamil is combined with Givosiran.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Givosiran.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Givosiran.]
[P02CA02, thiabendazole, The serum concentration of Thiabendazole can be increased when it is combined with Givosiran.]
[R06AD03, thiethylperazine, Givosiran may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Givosiran.]
[N05AF04, thiothixene, The serum concentration of Thiothixene can be increased when it is combined with Givosiran.]
[C01BB04, aprindine, The serum concentration of Aprindine can be increased when it is combined with Givosiran.]
[G04BE06, moxisylyte, Givosiran may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Givosiran may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The serum concentration of Ticlopidine can be increased when it is combined with Givosiran.]
[S01ED01, timolol, The serum concentration of Timolol can be increased when it is combined with Givosiran.]
[P01AB02, tinidazole, Givosiran may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Givosiran may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Givosiran may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Givosiran may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of nephrotoxicity can be increased when Tolmetin is combined with Givosiran.]
[N02AX02, tramadol, The serum concentration of Tramadol can be increased when it is combined with Givosiran.]
[N06AX05, trazodone, The serum concentration of Trazodone can be increased when it is combined with Givosiran.]
[C03DB02, triamterene, The serum concentration of Triamterene can be increased when it is combined with Givosiran.]
[N05CD05, triazolam, Givosiran may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[A16AX12, trientine, Givosiran may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The serum concentration of Trifluoperazine can be increased when it is combined with Givosiran.]
[S01AD02, trifluridine, Givosiran may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Givosiran may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[S01ED04, metipranolol, The serum concentration of Metipranolol can be increased when it is combined with Givosiran.]
[J01EA01, trimethoprim, Givosiran may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Givosiran.]
[N06AX24, vilazodone, The serum concentration of Vilazodone can be increased when it is combined with Givosiran.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Givosiran.]
[L01FX04, ipilimumab, Givosiran may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Givosiran may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Givosiran may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Givosiran may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Givosiran may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The serum concentration of Verapamil can be increased when it is combined with Givosiran.]
[N06AX09, viloxazine, Givosiran may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Givosiran may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Givosiran.]
[N05AF05, zuclopenthixol, The serum concentration of Zuclopenthixol can be increased when it is combined with Givosiran.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Pamidronic acid is combined with Givosiran.]
[M05BA05, tiludronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Tiludronic acid.]
[B06AC02, icatibant, Givosiran may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Givosiran may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Givosiran is combined with Ibandronate.]
[V03AC02, deferiprone, Givosiran may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of nephrotoxicity can be increased when Acetylsalicylic acid is combined with Givosiran.]
[L01EJ01, ruxolitinib, Givosiran may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Givosiran.]
[J01DH04, doripenem, Givosiran may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Givosiran.]
[M01CB03, auranofin, Givosiran may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Givosiran.]
[B03XA04, peginesatide, Givosiran may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Givosiran may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The serum concentration of Azathioprine can be increased when it is combined with Givosiran.]
[L01BC05, gemcitabine, Givosiran may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Givosiran may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Givosiran.]
[M03BX01, baclofen, Givosiran may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, The serum concentration of Lorcaserin can be increased when it is combined with Givosiran.]
[G04BD12, mirabegron, The serum concentration of Mirabegron can be increased when it is combined with Givosiran.]
[L02BB04, enzalutamide, Givosiran may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[D02BA02, octinoxate, Givosiran may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Givosiran.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be increased when it is combined with Givosiran.]
[N06DA02, donepezil, The serum concentration of Donepezil can be increased when it is combined with Givosiran.]
[N03AX22, perampanel, The serum concentration of Perampanel can be increased when it is combined with Givosiran.]
[N02CC03, zolmitriptan, The serum concentration of Zolmitriptan can be increased when it is combined with Givosiran.]
[G04BD10, darifenacin, The serum concentration of Darifenacin can be increased when it is combined with Givosiran.]
[V09IX04, fluorodeoxyglucose F18, Givosiran may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The serum concentration of Sildenafil can be increased when it is combined with Givosiran.]
[V08CA11, gadofosveset, Givosiran may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Ponatinib can be increased when it is combined with Givosiran.]
[A16AX08, teduglutide, Givosiran may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The serum concentration of Alogliptin can be increased when it is combined with Givosiran.]
[A16AX09, glycerol phenylbutyrate, Givosiran may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Givosiran.]
[N02BA10, benorilate, The risk or severity of nephrotoxicity can be increased when Benorilate is combined with Givosiran.]
[A10BK02, canagliflozin, Givosiran may decrease the excretion rate of Canagliflozin which could result in a higher serum level.]
[A06AX06, tegaserod, The serum concentration of Tegaserod can be increased when it is combined with Givosiran.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be increased when it is combined with Givosiran.]
[L03AA12, ancestim, Givosiran may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The serum concentration of Celecoxib can be increased when it is combined with Givosiran.]
[N04AC01, benztropine, The serum concentration of Benzatropine can be increased when it is combined with Givosiran.]
[R02AX03, benzydamine, The risk or severity of nephrotoxicity can be increased when Benzydamine is combined with Givosiran.]
[L01EE01, trametinib, Givosiran may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The serum concentration of Benzyl alcohol can be increased when it is combined with Givosiran.]
[V09AX05, florbetapir F-18, Givosiran may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The serum concentration of Levomilnacipran can be increased when it is combined with Givosiran.]
[C08EA02, bepridil, The serum concentration of Bepridil can be increased when it is combined with Givosiran.]
[A10BJ03, lixisenatide, Givosiran may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Givosiran may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The serum concentration of Ibrutinib can be increased when it is combined with Givosiran.]
[N06AX26, vortioxetine, The serum concentration of Vortioxetine can be increased when it is combined with Givosiran.]
[G03AC08, etonogestrel, Givosiran may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP08, sofosbuvir, Givosiran may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The serum concentration of Dapagliflozin can be increased when it is combined with Givosiran.]
[C01CA27, droxidopa, Givosiran may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Givosiran.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be increased when it is combined with Givosiran.]
[L04AA32, apremilast, The serum concentration of Apremilast can be increased when it is combined with Givosiran.]
[L02BG02, formestane, Givosiran may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Givosiran.]
[V03AB34, fomepizole, Givosiran may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Givosiran.]
[V08AA01, diatrizoic acid, Givosiran may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[V08AA04, iothalamic acid, Givosiran may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[A16AX10, eliglustat, The serum concentration of Eliglustat can be increased when it is combined with Givosiran.]
[S01AA15, dihydrostreptomycin, The risk or severity of nephrotoxicity can be increased when Dihydrostreptomycin is combined with Givosiran.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be increased when it is combined with Givosiran.]
[S03AA06, gentamicin, Givosiran may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Givosiran.]
[B01AF03, edoxaban, Givosiran may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The serum concentration of Mirtazapine can be increased when it is combined with Givosiran.]
[N02BE01, acetaminophen, The serum concentration of Acetaminophen can be increased when it is combined with Givosiran.]
[L01DC01, bleomycin, Givosiran may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Givosiran.]
[J05AP06, asunaprevir, The serum concentration of Asunaprevir can be increased when it is combined with Givosiran.]
[N05AX16, brexpiprazole, The serum concentration of Brexpiprazole can be increased when it is combined with Givosiran.]
[M02AA25, aceclofenac, The risk or severity of nephrotoxicity can be increased when Aceclofenac is combined with Givosiran.]
[M01AB11, acemetacin, The risk or severity of nephrotoxicity can be increased when Acemetacin is combined with Givosiran.]
[V03AB37, idarucizumab, Givosiran may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The serum concentration of Trabectedin can be increased when it is combined with Givosiran.]
[J05AF13, tenofovir alafenamide, Givosiran may increase the nephrotoxic activities of Tenofovir alafenamide.]
[L01XG03, ixazomib, Givosiran may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Givosiran may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of nephrotoxicity can be increased when Alminoprofen is combined with Givosiran.]
[N03AX23, brivaracetam, Givosiran may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, The serum concentration of Bromazepam can be increased when it is combined with Givosiran.]
[A02AD05, aluminum magnesium silicate, Givosiran may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[C03CA02, bumetanide, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Givosiran.]
[S01ED03, levobunolol, The serum concentration of Levobunolol can be increased when it is combined with Givosiran.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Givosiran.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Givosiran.]
[N07BC01, buprenorphine, The serum concentration of Buprenorphine can be increased when it is combined with Givosiran.]
[N05BE01, buspirone, The serum concentration of Buspirone can be increased when it is combined with Givosiran.]
[L01XX27, arsenic trioxide, Givosiran may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Givosiran may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The serum concentration of Azelastine can be increased when it is combined with Givosiran.]
[L01XK03, rucaparib, The serum concentration of Rucaparib can be increased when it is combined with Givosiran.]
[A07EC04, balsalazide, The risk or severity of nephrotoxicity can be increased when Balsalazide is combined with Givosiran.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be increased when it is combined with Givosiran.]
[A06AH05, naldemedine, Givosiran may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The serum concentration of Deutetrabenazine can be increased when it is combined with Givosiran.]
[N02BF02, pregabalin, Givosiran may decrease the excretion rate of Pregabalin which could result in a higher serum level.]
[N06BC01, caffeine, The serum concentration of Caffeine can be increased when it is combined with Givosiran.]
[P01CA02, benznidazole, Givosiran may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Givosiran may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Tipranavir can be increased when it is combined with Givosiran.]
[N07XX13, valbenazine, The serum concentration of Valbenazine can be increased when it is combined with Givosiran.]
[J01MA23, delafloxacin, Givosiran may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Givosiran may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Enasidenib can be increased when it is combined with Givosiran.]
[C07AB07, bisoprolol, Givosiran may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The serum concentration of Efavirenz can be increased when it is combined with Givosiran.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Cefprozil is combined with Givosiran.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Givosiran.]
[R03BA02, budesonide, Givosiran may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, The risk or severity of nephrotoxicity can be increased when Bumadizone is combined with Givosiran.]
[J05AX18, letermovir, The serum concentration of Letermovir can be increased when it is combined with Givosiran.]
[N01BX04, capsaicin, The serum concentration of Capsaicin can be increased when it is combined with Givosiran.]
[R06AX18, acrivastine, Givosiran may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, Givosiran may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Givosiran may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Givosiran.]
[L04AA37, baricitinib, Givosiran may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Givosiran.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Cefetamet is combined with Givosiran.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Cefodizime is combined with Givosiran.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Ceforanide is combined with Givosiran.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Cefpodoxime is combined with Givosiran.]
[L01EC03, encorafenib, The serum concentration of Encorafenib can be increased when it is combined with Givosiran.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Givosiran.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Ceftibuten is combined with Givosiran.]
[J01GB14, plazomicin, Givosiran may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Givosiran.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Givosiran.]
[P01BA07, tafenoquine, The serum concentration of Tafenoquine can be increased when it is combined with Givosiran.]
[A16AX14, migalastat, Givosiran may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The serum concentration of Stiripentol can be increased when it is combined with Givosiran.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Givosiran.]
[S01GX12, cetirizine, Givosiran may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Givosiran may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of nephrotoxicity can be increased when Lornoxicam is combined with Givosiran.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Givosiran.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Inotersen is combined with Givosiran.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Givosiran.]
[L01AD01, carmustine, The serum concentration of Carmustine can be increased when it is combined with Givosiran.]
[A06AX05, prucalopride, Givosiran may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Givosiran.]
[S01ED05, carteolol, The serum concentration of Carteolol can be increased when it is combined with Givosiran.]
[P02BX04, triclabendazole, The serum concentration of Triclabendazole can be increased when it is combined with Givosiran.]
[N06BA14, solriamfetol, Givosiran may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Givosiran may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Cefaclor is combined with Givosiran.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Cefadroxil is combined with Givosiran.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Cefamandole is combined with Givosiran.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Cefatrizine is combined with Givosiran.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Cefazolin is combined with Givosiran.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Givosiran.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Cefonicid is combined with Givosiran.]
[L01EX15, pexidartinib, Givosiran may increase the hepatotoxic activities of Pexidartinib.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Cefoperazone is combined with Givosiran.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Cefotaxime is combined with Givosiran.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Cefotetan is combined with Givosiran.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Cefotiam is combined with Givosiran.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Cefoxitin is combined with Givosiran.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Cefsulodin is combined with Givosiran.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Givosiran.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Ceftizoxime is combined with Givosiran.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Ceftriaxone is combined with Givosiran.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Cefuroxime is combined with Givosiran.]
[M03BX08, cyclobenzaprine, The serum concentration of Cyclobenzaprine can be increased when it is combined with Givosiran.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Givosiran.]
[N04CX01, istradefylline, The serum concentration of Istradefylline can be increased when it is combined with Givosiran.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Givosiran.]
