[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Ticlopidine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Ticlopidine is combined with Streptokinase.]
[J01GA01, streptomycin, Ticlopidine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L01AD04, streptozocin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Streptozocin.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Ticlopidine.]
[A02BX02, sucralfate, Ticlopidine may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Ticlopidine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Ticlopidine may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Ticlopidine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Ticlopidine may increase the antiplatelet activities of Sulfinpyrazone.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Sulindac is combined with Ticlopidine.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Ticlopidine.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Azapropazone is combined with Ticlopidine.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Ticlopidine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Ticlopidine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ticlopidine.]
[N05CD07, temazepam, Ticlopidine may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Ticlopidine.]
[R03CC03, terbutaline, Ticlopidine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Ticlopidine may increase the anticoagulant activities of Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Ticlopidine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Ticlopidine.]
[S03AA02, tetracycline, Ticlopidine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Ticlopidine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Ticlopidine.]
[L04AX02, thalidomide, The risk or severity of bleeding can be increased when Ticlopidine is combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Ticlopidine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Ticlopidine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Ticlopidine.]
[L01XX41, eribulin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Eribulin.]
[R06AD03, thiethylperazine, Ticlopidine may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01AC01, thiotepa, The risk or severity of bleeding can be increased when Ticlopidine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tioguanine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Ticlopidine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Ticlopidine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Ticlopidine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Ticlopidine.]
[G04BE06, moxisylyte, Ticlopidine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Ticlopidine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Ticlopidine.]
[P01AB02, tinidazole, Ticlopidine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Ticlopidine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Ticlopidine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Ticlopidine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Tolmetin is combined with Ticlopidine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Ticlopidine.]
[N06AF04, tranylcypromine, The metabolism of Ticlopidine can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, Ticlopidine may increase the antiplatelet activities of Trapidil.]
[N06AX05, trazodone, The risk or severity of bleeding can be increased when Trazodone is combined with Ticlopidine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Ticlopidine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Ticlopidine may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ticlopidine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Ticlopidine.]
[S01AD02, trifluridine, Ticlopidine may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[A03AA05, trimebutine, Ticlopidine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Ticlopidine.]
[J01EA01, trimethoprim, Ticlopidine may decrease the excretion rate of Trimethoprim which could result in a higher serum level.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Ticlopidine.]
[R06AC04, tripelennamine, The metabolism of Ticlopidine can be decreased when combined with Tripelennamine.]
[N06AX24, vilazodone, The metabolism of Ticlopidine can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ticlopidine.]
[L01FX04, ipilimumab, Ticlopidine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Ticlopidine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Ticlopidine can be decreased when combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Ticlopidine.]
[B01AD04, urokinase, Ticlopidine may increase the anticoagulant activities of Urokinase.]
[S01AA28, vancomycin, Ticlopidine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ticlopidine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Ticlopidine may increase the anticoagulant activities of Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticlopidine is combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Ticlopidine.]
[N06AX09, viloxazine, The metabolism of Ticlopidine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vinblastine.]
[L01CA03, vindesine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Vindesine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[A11HA03, vitamin E, Vitamin E may increase the antiplatelet activities of Ticlopidine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Ticlopidine can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Ticlopidine.]
[L01EC01, vemurafenib, The metabolism of Ticlopidine can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Ticlopidine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Ticlopidine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Ticlopidine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Ticlopidine.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Ticlopidine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of bleeding can be increased when Ticlopidine is combined with Alemtuzumab.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the antiplatelet activities of Ticlopidine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Ticlopidine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Ticlopidine.]
[J01DH04, doripenem, Ticlopidine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Ticlopidine.]
[L03AB11, peginterferon alfa-2a, The risk or severity of bleeding can be increased when Ticlopidine is combined with Peginterferon alfa-2a.]
[L01FA01, rituximab, The risk or severity of bleeding can be increased when Ticlopidine is combined with Rituximab.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Ticlopidine.]
[M01CB03, auranofin, Ticlopidine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Ticlopidine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ticlopidine.]
[B03XA04, peginesatide, Ticlopidine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Azacitidine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Ticlopidine.]
[L01BC05, gemcitabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Gemcitabine.]
