[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Eptifibatide.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Eptifibatide is combined with Streptokinase.]
[L01AD04, streptozocin, The risk or severity of bleeding can be increased when Eptifibatide is combined with Streptozocin.]
[M04AB02, sulfinpyrazone, Eptifibatide may increase the antiplatelet activities of Sulfinpyrazone.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Sulindac is combined with Eptifibatide.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Azapropazone is combined with Eptifibatide.]
[L01BB02, mercaptopurine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Mercaptopurine.]
[L01CB02, teniposide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Teniposide.]
[B01AE07, dabigatran etexilate, Eptifibatide may increase the anticoagulant activities of Dabigatran etexilate.]
[L04AX02, thalidomide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of bleeding can be increased when Eptifibatide is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of bleeding can be increased when Eptifibatide is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Tioguanine.]
[B01AC05, ticlopidine, Eptifibatide may increase the antiplatelet activities of Ticlopidine.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Tolmetin is combined with Eptifibatide.]
[N06AF04, tranylcypromine, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Eptifibatide.]
[C01DX11, trapidil, Eptifibatide may increase the antiplatelet activities of Trapidil.]
[N06AX05, trazodone, The risk or severity of bleeding can be increased when Trazodone is combined with Eptifibatide.]
[B01AD04, urokinase, Eptifibatide may increase the anticoagulant activities of Urokinase.]
[B01AF01, rivaroxaban, Eptifibatide may increase the anticoagulant activities of Rivaroxaban.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Eptifibatide is combined with Ticagrelor.]
[L01CA01, vinblastine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Vinblastine.]
[L01CA03, vindesine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Vindesine.]
[A11HA03, vitamin E, Vitamin E may increase the antiplatelet activities of Eptifibatide.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Eptifibatide is combined with Warfarin.]
[J05AF01, zidovudine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Zidovudine.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Eptifibatide is combined with Lepirudin.]
[L04AA34, alemtuzumab, The risk or severity of bleeding can be increased when Eptifibatide is combined with Alemtuzumab.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the antiplatelet activities of Eptifibatide.]
[L01EJ01, ruxolitinib, The risk or severity of bleeding can be increased when Eptifibatide is combined with Ruxolitinib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of bleeding can be increased when Eptifibatide is combined with Peginterferon alfa-2a.]
[L01FA01, rituximab, The risk or severity of bleeding can be increased when Eptifibatide is combined with Rituximab.]
[L01BC07, azacitidine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Azacitidine.]
[L01BC05, gemcitabine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Gemcitabine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of bleeding can be increased when Eptifibatide is combined with Gemtuzumab ozogamicin.]
[L01XG02, carfilzomib, The risk or severity of bleeding can be increased when Eptifibatide is combined with Carfilzomib.]
[L01EA04, bosutinib, The risk or severity of bleeding can be increased when Eptifibatide is combined with Bosutinib.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Defibrotide.]
[L01AA09, bendamustine, The risk or severity of bleeding can be increased when Eptifibatide is combined with Bendamustine.]
[N04BD02, rasagiline, The risk or severity of bleeding and hemorrhage can be increased when Rasagiline is combined with Eptifibatide.]
[L04AA29, tofacitinib, The risk or severity of bleeding can be increased when Eptifibatide is combined with Tofacitinib.]
[L01EA05, ponatinib, The risk or severity of bleeding can be increased when Eptifibatide is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of adverse effects can be increased when Eptifibatide is combined with Apixaban.]
[L04AX06, pomalidomide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of bleeding can be increased when Benorilate is combined with Eptifibatide.]
[M01AH01, celecoxib, The risk or severity of bleeding can be increased when Celecoxib is combined with Eptifibatide.]
[L04AA18, everolimus, The risk or severity of bleeding can be increased when Eptifibatide is combined with Everolimus.]
[R02AX03, benzydamine, The risk or severity of bleeding can be increased when Benzydamine is combined with Eptifibatide.]
