[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Mannitol.]
[J01GA01, streptomycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Streptomycin.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mannitol.]
[A02BX02, sucralfate, Mannitol may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Mannitol may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, Mannitol may increase the excretion rate of Sulfadiazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC01, sulfamethoxazole, Mannitol may increase the excretion rate of Sulfamethoxazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB02, sulindac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Sulindac.]
[M01AX04, apazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Azapropazone.]
[L02BA01, tamoxifen, The serum concentration of Mannitol can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Mannitol may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC03, terbutaline, Mannitol may increase the excretion rate of Terbutaline which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AE07, dabigatran etexilate, Mannitol may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Mannitol may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA02, tetracycline, Mannitol may increase the excretion rate of Tetracycline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftaroline fosamil.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Mannitol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Mannitol is combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Theobromine is combined with Mannitol.]
[P02CA02, thiabendazole, Mannitol may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Mannitol may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Mannitol.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Mannitol.]
[G04BE06, moxisylyte, Mannitol may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Mannitol may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Mannitol may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, Mannitol may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Mannitol may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tobramycin.]
[A10BB05, tolazamide, Mannitol may increase the excretion rate of Tolazamide which could result in a lower serum level and potentially a reduction in efficacy.]
