[S02DA03, antipyrine, Potassium chloride may increase the hyperkalemic activities of Antipyrine.]
[J01GA01, streptomycin, Potassium chloride may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, Potassium chloride may increase the hyperkalemic activities of Succinylcholine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01CG01, sulbactam, Potassium chloride may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Potassium chloride may increase the hyperkalemic activities of Sulfamethoxazole.]
[M01AB02, sulindac, Potassium chloride may increase the hyperkalemic activities of Sulindac.]
[M01AX04, apazone, Potassium chloride may increase the hyperkalemic activities of Azapropazone.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R03CC03, terbutaline, Potassium chloride may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Potassium chloride may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Potassium chloride which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[G04BE06, moxisylyte, Potassium chloride may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Potassium chloride may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Potassium chloride which could result in a higher serum level.]
[S01ED01, timolol, Potassium chloride may increase the hyperkalemic activities of Timolol.]
[P01AB02, tinidazole, Potassium chloride may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Potassium chloride may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Potassium chloride may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
