[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinidine.]
[B01AD01, streptokinase, The therapeutic efficacy of Streptokinase can be increased when used in combination with Quinidine.]
[J01GA01, streptomycin, Streptomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L04AA27, fingolimod, Fingolimod may increase the arrhythmogenic activities of Quinidine.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Quinidine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Quinidine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The metabolism of Quinidine can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Quinidine can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Quinidine.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AL01, sulpiride, Quinidine may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Quinidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Quinidine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Quinidine.]
[L02BA01, tamoxifen, The serum concentration of Quinidine can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Quinidine.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Quinidine.]
