[S02DA03, antipyrine, The metabolism of Procainamide can be decreased when combined with Antipyrine.]
[J01GA01, streptomycin, Streptomycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[L04AA27, fingolimod, Fingolimod may increase the arrhythmogenic activities of Procainamide.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Procainamide.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Procainamide.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Procainamide is combined with Sulpiride.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Procainamide.]
[L02BA01, tamoxifen, The metabolism of Procainamide can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Procainamide can be decreased when combined with Tetrabenazine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Procainamide.]
[A04AD10, dronabinol, The metabolism of Procainamide can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Procainamide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Procainamide can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Procainamide can be increased when it is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Procainamide.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Procainamide.]
[N05AC02, thioridazine, The metabolism of Procainamide can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Procainamide.]
[C01BB04, aprindine, Procainamide may increase the arrhythmogenic activities of Aprindine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Procainamide can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may increase the arrhythmogenic activities of Procainamide.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AA12, tobramycin, Tobramycin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Procainamide can be decreased when combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Procainamide can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Procainamide.]
[S01BA05, triamcinolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Triamcinolone.]
[C03DB02, triamterene, Triamterene may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Procainamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The therapeutic efficacy of Mepenzolate can be decreased when used in combination with Procainamide.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Procainamide.]
[D07AC02, fluclorolone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Procainamide.]
[R03BA07, mometasone, The therapeutic efficacy of Procainamide can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, Procainamide may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Procainamide may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Procainamide.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Procainamide.]
[C02BA01, trimethaphan, Procainamide may increase the neuromuscular blocking activities of Trimethaphan.]
[J01EA01, trimethoprim, The excretion of Procainamide can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Procainamide can be decreased when combined with Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Procainamide can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Procainamide.]
[A03BB01, butylscopolamine, The therapeutic efficacy of Butylscopolamine can be decreased when used in combination with Procainamide.]
[N06AX24, vilazodone, The metabolism of Procainamide can be decreased when combined with Vilazodone.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Procainamide.]
