[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propafenone.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Propafenone.]
[L04AA27, fingolimod, Propafenone may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Propafenone.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Propafenone.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Propafenone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Propafenone.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Propafenone.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Propafenone.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Propafenone.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Propafenone.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Propafenone.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Propafenone.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Propafenone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Propafenone.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Propafenone.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Propafenone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Propafenone.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Propafenone is combined with Lurasidone.]
[A04AD10, dronabinol, The metabolism of Propafenone can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Propafenone.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Propafenone.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Propafenone.]
[P02CA02, thiabendazole, The metabolism of Propafenone can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Propafenone.]
[R06AD03, thiethylperazine, The serum concentration of Propafenone can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Propafenone.]
[N05CA19, thiopental, The serum concentration of Propafenone can be decreased when it is combined with Thiopental.]
[N05AB08, thioproperazine, The serum concentration of Propafenone can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Propafenone.]
[C01BB04, aprindine, Propafenone may increase the arrhythmogenic activities of Aprindine.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Propafenone.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Propafenone is combined with Moxisylyte.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Propafenone.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Propafenone.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Propafenone.]
[M02AX02, tolazoline, Propafenone may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Propafenone.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Propafenone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Propafenone.]
[N06AF04, tranylcypromine, The metabolism of Propafenone can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Propafenone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Propafenone.]
[C03AA06, trichlormethiazide, Propafenone may decrease the antihypertensive activities of Trichlormethiazide.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Propafenone.]
[N05AB06, trifluoperazine, The serum concentration of Propafenone can be increased when it is combined with Trifluoperazine.]
[N05AA05, triflupromazine, The serum concentration of Propafenone can be increased when it is combined with Triflupromazine.]
[A03AA05, trimebutine, Propafenone may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Propafenone may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Propafenone can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Propafenone.]
[C02BA01, trimethaphan, Propafenone may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Propafenone.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Propafenone.]
[R06AC04, tripelennamine, The metabolism of Propafenone can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Propafenone.]
[J01FA08, troleandomycin, The metabolism of Propafenone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Propafenone can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Propafenone may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Propafenone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Propafenone.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Propafenone.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Propafenone can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Propafenone.]
[J05AP03, boceprevir, The metabolism of Propafenone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Propafenone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Propafenone can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Propafenone.]
[B01AF01, rivaroxaban, The serum concentration of Rivaroxaban can be increased when it is combined with Propafenone.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Propafenone.]
[B01AC24, ticagrelor, The serum concentration of Ticagrelor can be increased when it is combined with Propafenone.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Propafenone.]
[N06AX09, viloxazine, The metabolism of Propafenone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Propafenone.]
[C04AX07, vincamine, Propafenone may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Propafenone.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Propafenone.]
[S01AA13, fusidic acid, The metabolism of Propafenone can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Propafenone is combined with Xenon.]
[C03BA10, xipamide, Propafenone may decrease the antihypertensive activities of Xipamide.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Propafenone.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Zuclopenthixol.]
