[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Antipyrine.]
[J01GA01, streptomycin, Dopamine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01CG01, sulbactam, Dopamine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Dopamine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Dopamine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Dopamine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Dopamine is combined with Mercaptopurine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Dopamine.]
[B01AE07, dabigatran etexilate, Dopamine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Dopamine is combined with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Dopamine.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Dopamine is combined with Theobromine.]
[R03DA04, theophylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Dopamine can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AB08, thioproperazine, The risk or severity of hypertension can be increased when Dopamine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of hypertension can be increased when Thioridazine is combined with Dopamine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Dopamine is combined with Moxisylyte.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Dopamine is combined with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Dopamine is combined with Protirelin.]
[N05AL03, tiapride, Dopamine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01ED01, timolol, Dopamine may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AA12, tobramycin, Dopamine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M02AX02, tolazoline, Dopamine may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, Dopamine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Dopamine.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AF04, tranylcypromine, The metabolism of Dopamine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of hypertension can be increased when Trazodone is combined with Dopamine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Dopamine is combined with Mepenzolate.]
[A16AX12, trientine, Dopamine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Dopamine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Dopamine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Dopamine.]
[A03AA05, trimebutine, Dopamine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[C02BA01, trimethaphan, Dopamine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The serum concentration of Dopamine can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of hypertension can be increased when Trimipramine is combined with Dopamine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Dopamine is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Dopamine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, Dopamine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Dopamine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Dopamine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Dopamine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be increased when it is combined with Dopamine.]
[S01AA28, vancomycin, Dopamine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Dopamine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Dopamine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Dopamine is combined with Indacaterol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Dopamine.]
[N06AX09, viloxazine, Dopamine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[C04AX07, vincamine, Dopamine may decrease the antihypertensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[B01AA03, warfarin, Dopamine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may increase the arrhythmogenic activities of Dopamine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The risk or severity of hypertension can be increased when Dopamine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of adverse effects can be increased when Indinavir is combined with Dopamine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Dopamine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Dopamine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Dopamine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Dopamine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The risk or severity of hypertension can be increased when Ziprasidone is combined with Dopamine.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Dopamine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Dopamine.]
[L01EJ01, ruxolitinib, Dopamine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Dopamine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Dopamine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Dopamine may decrease the antihypertensive activities of Atenolol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Dopamine.]
[M01CB03, auranofin, Dopamine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Dopamine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L04AX01, azathioprine, Dopamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A08AA11, lorcaserin, Dopamine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Dopamine is combined with Mirabegron.]
[L02BB04, enzalutamide, Dopamine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Octopamine.]
[D02BA02, octinoxate, Dopamine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The risk or severity of adverse effects can be increased when Nelfinavir is combined with Dopamine.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Dopamine is combined with Rasagiline.]
[C08CA13, lercanidipine, Dopamine may decrease the antihypertensive activities of Lercanidipine.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Dopamine.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Dopamine.]
[V09IX04, fluorodeoxyglucose F18, Dopamine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the arrhythmogenic activities of Dopamine.]
[V08CA11, gadofosveset, Dopamine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Dopamine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Dopamine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Dopamine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, Dopamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Dopamine is combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03AA04, tiratricol, The risk or severity of adverse effects can be increased when Dopamine is combined with Tiratricol.]
