[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Antipyrine.]
[J01GA01, streptomycin, Dobutamine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01CG01, sulbactam, Dobutamine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Dobutamine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Dobutamine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Dobutamine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Mercaptopurine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, Dobutamine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Dobutamine is combined with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Dobutamine.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Theobromine.]
[R03DA04, theophylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AB08, thioproperazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Thioridazine.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Dobutamine is combined with Moxisylyte.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Dobutamine is combined with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Dobutamine is combined with Protirelin.]
[N05AL03, tiapride, Dobutamine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the bronchodilatory activities of Dobutamine.]
[P01AB02, tinidazole, Dobutamine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Dobutamine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[M02AX02, tolazoline, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, Dobutamine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Dobutamine.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypertensive activities of Dobutamine.]
[N06AX05, trazodone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Trazodone.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Dobutamine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Dobutamine may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Mepenzolate.]
[A16AX12, trientine, Dobutamine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AA05, triflupromazine, The risk or severity of Tachycardia can be increased when Triflupromazine is combined with Dobutamine.]
[D07AC02, fluclorolone, The risk or severity of hypokalemia can be increased when Fluclorolone is combined with Dobutamine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Dobutamine.]
[R03BA07, mometasone, The risk or severity of hypokalemia can be increased when Mometasone is combined with Dobutamine.]
[A03AA05, trimebutine, Dobutamine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[C02BA01, trimethaphan, Dobutamine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the vasopressor activities of Dobutamine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Dobutamine is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Dobutamine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, Dobutamine may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Dobutamine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Dobutamine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Dobutamine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Dobutamine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Dobutamine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Indacaterol.]
[C08DA01, verapamil, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Verapamil.]
[N06AX09, viloxazine, Dobutamine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[C04AX07, vincamine, Dobutamine may decrease the antihypertensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[B01AA03, warfarin, Dobutamine may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Dobutamine is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Zuclopenthixol.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Dobutamine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Dobutamine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Dobutamine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Dobutamine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Dobutamine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Dobutamine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Dobutamine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Dobutamine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Atenolol.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Dobutamine.]
[M01CB03, auranofin, Dobutamine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[H02AB11, prednylidene, The risk or severity of hypokalemia can be increased when Prednylidene is combined with Dobutamine.]
[B03XA04, peginesatide, Dobutamine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Dobutamine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Dobutamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A08AA11, lorcaserin, Dobutamine may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Dobutamine is combined with Mirabegron.]
[L02BB04, enzalutamide, Dobutamine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of hypokalemia can be increased when Aldosterone is combined with Dobutamine.]
[D02BA02, octinoxate, Dobutamine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, Rasagiline may increase the hypertensive activities of Dobutamine.]
[C08CA13, lercanidipine, Dobutamine may decrease the antihypertensive activities of Lercanidipine.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Dobutamine.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Thonzylamine.]
[G04BD10, darifenacin, The risk or severity of Tachycardia can be increased when Darifenacin is combined with Dobutamine.]
[V09IX04, fluorodeoxyglucose F18, Dobutamine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Dobutamine is combined with Diethyl ether.]
[V08CA11, gadofosveset, Dobutamine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Dobutamine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Dobutamine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Dobutamine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Bendroflumethiazide.]
[L04AX06, pomalidomide, Dobutamine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Dobutamine is combined with Benorilate.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[H03AA04, tiratricol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Tiratricol.]
[L03AA12, ancestim, Dobutamine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Dobutamine.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Dobutamine is combined with Naratriptan.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Benzydamine.]
[L01EE01, trametinib, Dobutamine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Dobutamine is combined with Parathyroid hormone.]
[V09AX05, florbetapir F-18, Dobutamine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the tachycardic activities of Dobutamine.]
[C08EA02, bepridil, Dobutamine may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Dobutamine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Dobutamine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Dobutamine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Dobutamine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Dobutamine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, The therapeutic efficacy of Dobutamine can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Acebutolol.]
[N05CH03, tasimelteon, Dobutamine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Dobutamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Dobutamine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Betahistine.]
[S03BA03, betamethasone, The risk or severity of hypokalemia can be increased when Betamethasone is combined with Dobutamine.]
[S01ED02, betaxolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Betaxolol.]
[V03AB34, fomepizole, Dobutamine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Dobutamine may decrease the antihypertensive activities of Bethanidine.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Hyoscyamine is combined with Dobutamine.]
[R03AC19, olodaterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AA04, acepromazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Acepromazine.]
[V04CX03, methacholine, Dobutamine may decrease effectiveness of Methacholine as a diagnostic agent.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Biperiden is combined with Dobutamine.]
[S03AA06, gentamicin, Dobutamine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[B01AF03, edoxaban, Dobutamine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dobutamine.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Dobutamine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Dobutamine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Dobutamine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Dobutamine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Dobutamine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
