[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Ephedrine.]
[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Ephedrine is combined with Antipyrine.]
[M03AB01, succinylcholine, The serum concentration of Ephedrine can be increased when it is combined with Succinylcholine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Ephedrine.]
[N05AL01, sulpiride, Sulpiride may increase the neuromuscular blocking activities of Ephedrine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Ephedrine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the neuromuscular blocking activities of Ephedrine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be increased when used in combination with Ephedrine.]
[N05AE05, lurasidone, Lurasidone may decrease the hypertensive activities of Ephedrine.]
[A04AD10, dronabinol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Ephedrine.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Theobromine.]
[R06AD03, thiethylperazine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the neuromuscular blocking activities of Ephedrine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Thioridazine.]
[B02AB01, aprotinin, Aprotinin may increase the neuromuscular blocking activities of Ephedrine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the hypertensive activities of Ephedrine.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Ephedrine is combined with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Ephedrine is combined with Protirelin.]
[S01ED01, timolol, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Timolol.]
[M02AX02, tolazoline, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Ephedrine.]
[N02AX02, tramadol, The risk or severity of Tachycardia can be increased when Tramadol is combined with Ephedrine.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Ephedrine.]
[N06AX05, trazodone, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Trazodone.]
[S01BA05, triamcinolone, Ephedrine may increase the excretion rate of Triamcinolone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03DB02, triamterene, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Triamterene.]
[C03AA06, trichlormethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Ephedrine is combined with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the neuromuscular blocking activities of Ephedrine.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Trifluoperazine.]
[N05AA05, triflupromazine, Triflupromazine may increase the neuromuscular blocking activities of Ephedrine.]
[S01BA09, clobetasone, Ephedrine may increase the excretion rate of Clobetasone which could result in a lower serum level and potentially a reduction in efficacy.]
[D07AC02, fluclorolone, Ephedrine may increase the excretion rate of Fluclorolone which could result in a lower serum level and potentially a reduction in efficacy.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Ephedrine.]
[R03BA07, mometasone, Ephedrine may increase the excretion rate of Mometasone which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AA05, trimebutine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Trimebutine.]
[R06AD01, trimeprazine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Alimemazine.]
[C02BA01, trimethaphan, Ephedrine may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Trimipramine.]
[R06AC04, tripelennamine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Tripelennamine.]
[R06AX07, triprolidine, The therapeutic efficacy of Ephedrine can be increased when used in combination with Triprolidine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Ephedrine is combined with Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Ephedrine is combined with Vilazodone.]
