[L04AA27, fingolimod, Fingolimod may increase the bradycardic activities of Ivabradine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Ivabradine.]
[S01AB02, sulfisoxazole, Ivabradine may increase the QTc-prolonging activities of Sulfisoxazole.]
[N05AL01, sulpiride, Ivabradine may increase the QTc-prolonging activities of Sulpiride.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Ivabradine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Ivabradine.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Tetrabenazine is combined with Ivabradine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ivabradine.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ivabradine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Ivabradine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Thioridazine is combined with Ivabradine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ivabradine.]
[S01ED01, timolol, Timolol may increase the bradycardic activities of Ivabradine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Ivabradine.]
[C03AA06, trichlormethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Trichlormethiazide is combined with Ivabradine.]
[A03AA05, trimebutine, Trimebutine may increase the bradycardic activities of Ivabradine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Ivabradine.]
[N03AC02, trimethadione, Trimethadione may increase the bradycardic activities of Ivabradine.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Ivabradine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Ivabradine.]
[J01FA08, troleandomycin, The metabolism of Ivabradine can be decreased when combined with Troleandomycin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Vandetanib is combined with Ivabradine.]
[A10BH05, linagliptin, The metabolism of Ivabradine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Ivabradine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Ivabradine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ivabradine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Ivabradine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Ivabradine.]
[C08DA01, verapamil, The metabolism of Ivabradine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ivabradine can be decreased when combined with Viloxazine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Zuclopenthixol is combined with Ivabradine.]
[J05AE02, indinavir, The metabolism of Ivabradine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Ivabradine.]
[L01ED01, crizotinib, The metabolism of Ivabradine can be decreased when combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Ivabradine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Ivabradine.]
[N05AE04, ziprasidone, The metabolism of Ivabradine can be decreased when combined with Ziprasidone.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Ivabradine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Ivabradine.]
[C07AB03, atenolol, Atenolol may increase the bradycardic activities of Ivabradine.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation and torsade de pointes can be increased when Voriconazole is combined with Ivabradine.]
[S01FA01, atropine, Ivabradine may increase the QTc-prolonging activities of Atropine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Ivabradine.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Mirabegron is combined with Ivabradine.]
[V03AX03, cobicistat, The metabolism of Ivabradine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Ivabradine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Ivabradine can be decreased when it is combined with Enzalutamide.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Ivabradine.]
[J05AE04, nelfinavir, The metabolism of Ivabradine can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, Lercanidipine may increase the bradycardic activities of Ivabradine.]
[N06DA02, donepezil, Donepezil may increase the bradycardic activities of Ivabradine.]
[L04AA29, tofacitinib, Tofacitinib may increase the bradycardic activities of Ivabradine.]
[H01CB05, pasireotide, Pasireotide may increase the bradycardic activities of Ivabradine.]
[J04AK05, bedaquiline, Ivabradine may increase the QTc-prolonging activities of Bedaquiline.]
[C04AX11, bencyclane, Bencyclane may increase the bradycardic activities of Ivabradine.]
[C03AA01, bendroflumethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Bendroflumethiazide is combined with Ivabradine.]
[J01MA15, gemifloxacin, Ivabradine may increase the QTc-prolonging activities of Gemifloxacin.]
[S01AE07, moxifloxacin, Ivabradine may increase the QTc-prolonging activities of Moxifloxacin.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Ivabradine.]
[L01EC02, dabrafenib, The serum concentration of Ivabradine can be decreased when it is combined with Dabrafenib.]
[C08EA02, bepridil, Bepridil may increase the bradycardic activities of Ivabradine.]
[J05AP05, simeprevir, The metabolism of Ivabradine can be decreased when combined with Simeprevir.]
[C07AB04, acebutolol, Acebutolol may increase the bradycardic activities of Ivabradine.]
[A16AA07, metreleptin, The metabolism of Ivabradine can be increased when combined with Metreleptin.]
[S01ED02, betaxolol, Betaxolol may increase the bradycardic activities of Ivabradine.]
[L01ED02, ceritinib, Ivabradine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Ivabradine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Ivabradine.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Eliglustat is combined with Ivabradine.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Ivabradine.]
