[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Ranolazine.]
[J01GA01, streptomycin, Ranolazine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Ranolazine may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Ranolazine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Ranolazine may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Ranolazine may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, The metabolism of Ranolazine can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Sulpiride.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Ranolazine can be increased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Ranolazine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Ranolazine.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Ranolazine.]
[G03BA03, testosterone, The metabolism of Ranolazine can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The serum concentration of Tetrabenazine can be increased when it is combined with Ranolazine.]
[S03AA02, tetracycline, Ranolazine may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ranolazine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Ranolazine.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Ranolazine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Ranolazine.]
[P02CA02, thiabendazole, Ranolazine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Ranolazine.]
[R06AD03, thiethylperazine, Ranolazine may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Ranolazine.]
[N05CA19, thiopental, The metabolism of Ranolazine can be increased when combined with Thiopental.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Ranolazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Ranolazine.]
[C01BB04, aprindine, The serum concentration of Aprindine can be increased when it is combined with Ranolazine.]
[G04BE06, moxisylyte, Ranolazine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Ranolazine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
