[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Guanfacine.]
[J01GA01, streptomycin, Guanfacine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Guanfacine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Guanfacine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01CG01, sulbactam, Guanfacine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M01AB02, sulindac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Guanfacine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Guanfacine is combined with Sulthiame.]
[M01AX04, apazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Azapropazone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Guanfacine.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Guanfacine.]
[B01AE07, dabigatran etexilate, Guanfacine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Guanfacine.]
[L04AX02, thalidomide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Thiamine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Guanfacine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Guanfacine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Guanfacine is combined with Thiothixene.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Guanfacine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tiapride.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tilidine.]
[S01ED01, timolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01AA12, tobramycin, Guanfacine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M02AX02, tolazoline, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, Guanfacine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Guanfacine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Guanfacine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Guanfacine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Guanfacine.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Guanfacine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[S01ED04, metipranolol, Guanfacine may increase the hypotensive activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Guanfacine.]
[C02BA01, trimethaphan, Guanfacine may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
