[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Hydralazine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Hydralazine.]
[J01GA01, streptomycin, Hydralazine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01CG01, sulbactam, Hydralazine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Hydralazine.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Hydralazine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Hydralazine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Hydralazine.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Hydralazine.]
[B01AE07, dabigatran etexilate, Hydralazine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Hydralazine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Hydralazine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Hydralazine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Hydralazine.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Hydralazine.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Hydralazine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Hydralazine.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Hydralazine.]
[N05AC02, thioridazine, Thioridazine may decrease the antihypertensive activities of Hydralazine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Hydralazine.]
[N05AL03, tiapride, Hydralazine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01ED01, timolol, Timolol may increase the hypotensive activities of Hydralazine.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01AA12, tobramycin, Hydralazine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M02AX02, tolazoline, Tolazoline may decrease the antihypertensive activities of Hydralazine.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Hydralazine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Hydralazine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Hydralazine.]
[N06AX05, trazodone, Trazodone may decrease the antihypertensive activities of Hydralazine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Hydralazine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Trichlormethiazide.]
[A16AX12, trientine, Hydralazine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Hydralazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A03AA05, trimebutine, Hydralazine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[S01ED04, metipranolol, Metipranolol may increase the hypotensive activities of Hydralazine.]
[C02BA01, trimethaphan, Trimethaphan may increase the hypotensive activities of Hydralazine.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may decrease the antihypertensive activities of Hydralazine.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Hydralazine.]
[C09CA09, azilsartan medoxomil, Hydralazine may increase the hypotensive activities of Azilsartan medoxomil.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Hydralazine.]
[L01FX04, ipilimumab, Hydralazine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Hydralazine.]
[R02AA14, oxyquinoline, Hydralazine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Hydralazine.]
[S01AA28, vancomycin, Hydralazine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Hydralazine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Hydralazine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Hydralazine.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Hydralazine.]
[N06AX09, viloxazine, Hydralazine may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Hydralazine.]
[C04AX07, vincamine, Hydralazine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Hydralazine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Hydralazine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Hydralazine.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Hydralazine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Hydralazine.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Hydralazine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Hydralazine.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[B06AC02, icatibant, Hydralazine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Hydralazine.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Hydralazine.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Hydralazine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Hydralazine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Hydralazine.]
