[S02DA03, antipyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Metolazone.]
[J01GA01, streptomycin, Metolazone may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Metolazone may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Metolazone may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Metolazone.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Metolazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Metolazone.]
[M01AB02, sulindac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Sulindac.]
[N05AL01, sulpiride, The risk or severity of orthostatic hypotension can be increased when Metolazone is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Metolazone.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Metolazone.]
[M01AX04, apazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Azapropazone.]
[N05CD07, temazepam, Metolazone may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC03, terbutaline, Metolazone may increase the excretion rate of Terbutaline which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AE07, dabigatran etexilate, Metolazone may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Metolazone may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA02, tetracycline, Metolazone may increase the excretion rate of Tetracycline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Metolazone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Metolazone is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Metolazone is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Metolazone may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Metolazone may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Metolazone.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Metolazone.]
[N05AC02, thioridazine, Thioridazine may decrease the antihypertensive activities of Metolazone.]
[G04BE06, moxisylyte, Metolazone may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Metolazone may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Metolazone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, Metolazone may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Metolazone may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, Metolazone may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Metolazone.]
[M02AX02, tolazoline, Tolazoline may decrease the antihypertensive activities of Metolazone.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Metolazone.]
[M02AA21, tolmetin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Metolazone may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Metolazone.]
[N06AX05, trazodone, The risk or severity of hyponatremia can be increased when Trazodone is combined with Metolazone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Metolazone is combined with Tretinoin.]
[S01BA05, triamcinolone, Triamcinolone may increase the hypokalemic activities of Metolazone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Metolazone may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, The serum concentration of Metolazone can be increased when it is combined with Mepenzolate.]
[A16AX12, trientine, Metolazone may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AB06, trifluoperazine, Trifluoperazine may decrease the antihypertensive activities of Metolazone.]
[S01AD02, trifluridine, Metolazone may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA05, triflupromazine, The serum concentration of Metolazone can be increased when it is combined with Triflupromazine.]
[D07AC02, fluclorolone, Fluclorolone may increase the hypokalemic activities of Metolazone.]
[N04AA01, trihexyphenidyl, The serum concentration of Metolazone can be increased when it is combined with Trihexyphenidyl.]
[R03BA07, mometasone, Mometasone may increase the hypokalemic activities of Metolazone.]
[A03AA05, trimebutine, Metolazone may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED04, metipranolol, Metolazone may increase the hypotensive activities of Metipranolol.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Metolazone is combined with Trimethaphan.]
[J01EA01, trimethoprim, Metolazone may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, Trimipramine may decrease the antihypertensive activities of Metolazone.]
[A03BB01, butylscopolamine, The serum concentration of Metolazone can be increased when it is combined with Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Metolazone.]
[C09CA09, azilsartan medoxomil, Metolazone may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The serum concentration of Metolazone can be increased when it is combined with Tubocurarine.]
[R03DX07, roflumilast, Metolazone may increase the excretion rate of Roflumilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX04, ipilimumab, Metolazone may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AA14, oxyquinoline, Metolazone may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Metolazone.]
[S01AA28, vancomycin, Metolazone may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Metolazone may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Metolazone may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Metolazone.]
[C08DA01, verapamil, Metolazone may increase the excretion rate of Verapamil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX09, viloxazine, Metolazone may increase the excretion rate of Viloxazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX07, vincamine, Metolazone may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Metolazone may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AA03, warfarin, Metolazone may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Metolazone.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, Zuclopenthixol may decrease the antihypertensive activities of Metolazone.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[M05BA05, tiludronic acid, Metolazone may increase the excretion rate of Tiludronic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC02, icatibant, Metolazone may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC04, rabeprazole, Metolazone may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[H05BX03, doxercalciferol, The risk or severity of hypokalemia can be increased when Doxercalciferol is combined with Metolazone.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Metolazone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Metolazone may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Metolazone may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Metolazone may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, Metolazone may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB03, atenolol, Atenolol may increase the hypotensive activities of Metolazone.]
[A11CC03, alfacalcidol, The risk or severity of hypokalemia can be increased when Alfacalcidol is combined with Metolazone.]
[L01FA01, rituximab, Metolazone may increase the hypotensive activities of Rituximab.]
[M03AC04, atracurium, The serum concentration of Metolazone can be increased when it is combined with Atracurium.]
[S01FA01, atropine, Atropine may decrease the antihypertensive activities of Metolazone.]
[M01CB03, auranofin, Metolazone may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB11, prednylidene, Prednylidene may increase the hypokalemic activities of Metolazone.]
[B03XA04, peginesatide, Metolazone may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Metolazone may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Metolazone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Metolazone may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Metolazone may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[G04BE10, avanafil, Metolazone may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Metolazone.]
[A08AA11, lorcaserin, Metolazone may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, Metolazone may increase the excretion rate of Mirabegron which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB04, enzalutamide, Metolazone may increase the excretion rate of Enzalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Metolazone is combined with Linaclotide.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Metolazone.]
[H02AA01, aldosterone, Aldosterone may increase the hypokalemic activities of Metolazone.]
[N05CA04, barbital, The risk or severity of hypotension and orthostatic hypotension can be increased when Barbital is combined with Metolazone.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Metolazone is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Metolazone may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Metolazone.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Metolazone.]
[C08CA13, lercanidipine, Metolazone may increase the hypotensive activities of Lercanidipine.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Metolazone.]
[R06AC06, thonzylamine, The serum concentration of Metolazone can be increased when it is combined with Thonzylamine.]
[G04BD10, darifenacin, The serum concentration of Metolazone can be increased when it is combined with Darifenacin.]
[V09IX04, fluorodeoxyglucose F18, Metolazone may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Metolazone.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Metolazone.]
[V08CA11, gadofosveset, Metolazone may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
