[S02DA03, antipyrine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Indapamide.]
[J01GA01, streptomycin, Indapamide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Indapamide may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Indapamide may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Indapamide.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Indapamide.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Indapamide.]
[M01AB02, sulindac, The therapeutic efficacy of Indapamide can be decreased when used in combination with Sulindac.]
[N05AL01, sulpiride, The risk or severity of orthostatic hypotension can be increased when Indapamide is combined with Sulpiride.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Indapamide.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Indapamide.]
[M01AX04, apazone, The therapeutic efficacy of Indapamide can be decreased when used in combination with Azapropazone.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Indapamide.]
[N05CD07, temazepam, Indapamide may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, Indapamide may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Indapamide may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Tetrabenazine.]
[S03AA02, tetracycline, Indapamide may increase the excretion rate of Tetracycline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Indapamide which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Lurasidone.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Indapamide.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Indapamide is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Indapamide which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Indapamide may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Eribulin.]
[R06AD03, thiethylperazine, Indapamide may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Indapamide.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Indapamide.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Thiothixene.]
[G04BE06, moxisylyte, Indapamide may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Indapamide may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Indapamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, The therapeutic efficacy of Indapamide can be increased when used in combination with Timolol.]
[P01AB02, tinidazole, Indapamide may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, Indapamide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Indapamide.]
[M02AX02, tolazoline, The therapeutic efficacy of Indapamide can be increased when used in combination with Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Indapamide.]
[M02AA21, tolmetin, The therapeutic efficacy of Indapamide can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Indapamide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Indapamide.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Indapamide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Indapamide.]
[S01BA05, triamcinolone, Triamcinolone may increase the hypokalemic activities of Indapamide.]
