[S02DA03, antipyrine, The therapeutic efficacy of Furosemide can be decreased when used in combination with Antipyrine.]
[A14AA02, stanozolol, The therapeutic efficacy of Furosemide can be increased when used in combination with Stanozolol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Furosemide.]
[J01GA01, streptomycin, Furosemide may increase the ototoxic activities of Streptomycin.]
[M03AB01, succinylcholine, Furosemide may increase the skeletal muscle relaxing activities of Succinylcholine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Furosemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Furosemide may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Furosemide.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Furosemide.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Furosemide.]
[M01AB02, sulindac, The therapeutic efficacy of Furosemide can be decreased when used in combination with Sulindac.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Furosemide.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Furosemide.]
[M01AX04, apazone, The therapeutic efficacy of Furosemide can be decreased when used in combination with Azapropazone.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Furosemide.]
[L02BA01, tamoxifen, The therapeutic efficacy of Furosemide can be decreased when used in combination with Tamoxifen.]
[N05CD07, temazepam, Furosemide may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC03, terbutaline, The risk or severity of hypokalemia can be increased when Terbutaline is combined with Furosemide.]
[B01AE07, dabigatran etexilate, Furosemide may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, The therapeutic efficacy of Furosemide can be increased when used in combination with Testosterone.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Furosemide.]
[J01DI02, ceftaroline fosamil, Furosemide may decrease the excretion rate of Ceftaroline fosamil which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Furosemide.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Furosemide is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Furosemide is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Furosemide which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Furosemide may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Furosemide may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Furosemide.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Furosemide.]
[N05AC02, thioridazine, Thioridazine may decrease the antihypertensive activities of Furosemide.]
[G04BE06, moxisylyte, Furosemide may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Furosemide may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Furosemide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
