[S02DA03, antipyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Bumetanide.]
[J01GA01, streptomycin, The serum concentration of Streptomycin can be increased when it is combined with Bumetanide.]
[M03AB01, succinylcholine, Bumetanide may decrease the neuromuscular blocking activities of Succinylcholine.]
[A02BX02, sucralfate, Bumetanide may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Bumetanide may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Bumetanide.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Bumetanide.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Bumetanide.]
[M01AB02, sulindac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Sulindac.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Bumetanide.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Bumetanide.]
[M01AX04, apazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Azapropazone.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Bumetanide.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Bumetanide.]
[N05CD07, temazepam, Bumetanide may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC03, terbutaline, The risk or severity of hypokalemia can be increased when Terbutaline is combined with Bumetanide.]
[B01AE07, dabigatran etexilate, Bumetanide may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Bumetanide may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA02, tetracycline, The excretion of Bumetanide can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Ceftaroline fosamil.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Bumetanide.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Bumetanide may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Bumetanide may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Bumetanide.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Bumetanide.]
[G04BE06, moxisylyte, Bumetanide may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Bumetanide may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Bumetanide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, Bumetanide may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Bumetanide may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, The serum concentration of Tobramycin can be increased when it is combined with Bumetanide.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Bumetanide.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Tolazoline is combined with Bumetanide.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Bumetanide.]
[M02AA21, tolmetin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Bumetanide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Bumetanide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Bumetanide.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Bumetanide.]
[C03DB02, triamterene, The risk or severity of nephrotoxicity can be increased when Triamterene is combined with Bumetanide.]
[N05CD05, triazolam, Bumetanide may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Bumetanide may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Bumetanide.]
