[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Torasemide.]
[J01GA01, streptomycin, The serum concentration of Streptomycin can be increased when it is combined with Torasemide.]
[M03AB01, succinylcholine, Torasemide may decrease the neuromuscular blocking activities of Succinylcholine.]
[A02BX02, sucralfate, Torasemide may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Torasemide may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Torasemide.]
[S01AB01, sulfamethizole, The metabolism of Torasemide can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Torasemide.]
[J01EC03, sulfamoxole, The metabolism of Torasemide can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Torasemide can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Torasemide can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Torasemide.]
[M01AB02, sulindac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Sulindac.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Torasemide.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Torasemide.]
[M01AX04, apazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Torasemide.]
[N05CD07, temazepam, Torasemide may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB02, teniposide, The metabolism of Torasemide can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypokalemia can be increased when Terbutaline is combined with Torasemide.]
[B01AE07, dabigatran etexilate, Torasemide may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, Torasemide may increase the excretion rate of Testosterone which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA02, tetracycline, Torasemide may increase the excretion rate of Tetracycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Torasemide.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Torasemide.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Torasemide.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Torasemide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Torasemide.]
[P02CA02, thiabendazole, Torasemide may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Torasemide may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Torasemide.]
[N05AB08, thioproperazine, Thioproperazine may decrease the antihypertensive activities of Torasemide.]
[N05AC02, thioridazine, Thioridazine may decrease the antihypertensive activities of Torasemide.]
[G04BE06, moxisylyte, Torasemide may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Torasemide may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Torasemide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tilidine.]
[S01ED01, timolol, Torasemide may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Torasemide may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, The serum concentration of Tobramycin can be increased when it is combined with Torasemide.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Torasemide.]
[M02AX02, tolazoline, Tolazoline may decrease the antihypertensive activities of Torasemide.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Torasemide.]
[M02AA21, tolmetin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Torasemide may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Torasemide.]
[N06AX05, trazodone, Trazodone may decrease the antihypertensive activities of Torasemide.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Torasemide.]
[S01BA05, triamcinolone, The risk or severity of hypokalemia can be increased when Triamcinolone is combined with Torasemide.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Torasemide is combined with Triamterene.]
[N05CD05, triazolam, Torasemide may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
