[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Antipyrine is combined with Tolvaptan.]
[J01GA01, streptomycin, Tolvaptan may increase the excretion rate of Streptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tolvaptan.]
[A02BX02, sucralfate, Tolvaptan may increase the excretion rate of Sucralfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01CG01, sulbactam, Tolvaptan may increase the excretion rate of Sulbactam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC02, sulfadiazine, Tolvaptan may increase the excretion rate of Sulfadiazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01EC01, sulfamethoxazole, The metabolism of Tolvaptan can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Tolvaptan can be increased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Sulindac is combined with Tolvaptan.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Azapropazone.]
[L02BA01, tamoxifen, The serum concentration of Tolvaptan can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Tolvaptan may increase the excretion rate of Temazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01CB02, teniposide, The metabolism of Tolvaptan can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Tolvaptan may increase the excretion rate of Terbutaline which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AE07, dabigatran etexilate, Tolvaptan may increase the excretion rate of Dabigatran etexilate which could result in a lower serum level and potentially a reduction in efficacy.]
[G03BA03, testosterone, The metabolism of Tolvaptan can be increased when combined with Testosterone.]
[S03AA02, tetracycline, The metabolism of Tolvaptan can be decreased when combined with Tetracycline.]
[P02CA02, thiabendazole, Tolvaptan may increase the excretion rate of Thiabendazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, Tolvaptan may increase the excretion rate of Thiethylperazine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE06, moxisylyte, Tolvaptan may increase the excretion rate of Moxisylyte which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL03, tiapride, Tolvaptan may increase the excretion rate of Tiapride which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC05, ticlopidine, Tolvaptan may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX01, tilidine, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Tilidine.]
