[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Pentoxifylline.]
[B01AD01, streptokinase, The therapeutic efficacy of Streptokinase can be increased when used in combination with Pentoxifylline.]
[J01GA01, streptomycin, Pentoxifylline may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L01AD04, streptozocin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Streptozocin.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01CG01, sulbactam, Pentoxifylline may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Pentoxifylline may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Pentoxifylline may increase the antiplatelet activities of Sulfinpyrazone.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Sulindac is combined with Pentoxifylline.]
[N03AX03, sulthiame, Sulthiame may increase the excretion rate of Pentoxifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Azapropazone is combined with Pentoxifylline.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be increased when it is combined with Pentoxifylline.]
[N06DA01, tacrine, The metabolism of Pentoxifylline can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Pentoxifylline can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The therapeutic efficacy of Temazepam can be decreased when used in combination with Pentoxifylline.]
[L01CB02, teniposide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of adverse effects can be increased when Terbutaline is combined with Pentoxifylline.]
[B01AE07, dabigatran etexilate, The therapeutic efficacy of Dabigatran etexilate can be increased when used in combination with Pentoxifylline.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Pentoxifylline can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Thalidomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Pentoxifylline.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Pentoxifylline.]
[P02CA02, thiabendazole, The metabolism of Pentoxifylline can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[L01AC01, thiotepa, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Tioguanine.]
