[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Oxprenolol.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Oxprenolol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Oxprenolol.]
[L04AA27, fingolimod, Oxprenolol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxprenolol.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Oxprenolol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Oxprenolol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Oxprenolol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Oxprenolol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Oxprenolol.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Oxprenolol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Oxprenolol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Oxprenolol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Oxprenolol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Oxprenolol.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Oxprenolol.]
[R03CC03, terbutaline, Oxprenolol may decrease the bronchodilatory activities of Terbutaline.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Oxprenolol.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxprenolol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxprenolol.]
[L04AX02, thalidomide, Oxprenolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Oxprenolol is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Oxprenolol.]
[R06AD03, thiethylperazine, The serum concentration of Oxprenolol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Oxprenolol.]
