[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Pindolol.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Pindolol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Pindolol.]
[J01GA01, streptomycin, Pindolol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Pindolol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pindolol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01CG01, sulbactam, Pindolol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Pindolol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Pindolol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Pindolol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Pindolol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Pindolol.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Pindolol is combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Pindolol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Pindolol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Pindolol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Pindolol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Pindolol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Pindolol.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Pindolol.]
[R03CC03, terbutaline, Pindolol may decrease the bronchodilatory activities of Terbutaline.]
[B01AE07, dabigatran etexilate, Pindolol may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Pindolol.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Pindolol is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Pindolol is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pindolol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pindolol.]
[L04AX02, thalidomide, Pindolol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Pindolol is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Pindolol.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[R06AD03, thiethylperazine, The serum concentration of Pindolol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Pindolol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Pindolol.]
[N05AB08, thioproperazine, The serum concentration of Pindolol can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Pindolol can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Pindolol is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Pindolol.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Pindolol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Pindolol.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Pindolol is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Pindolol can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Pindolol is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Pindolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Pindolol which could result in a higher serum level.]
[S01AA12, tobramycin, Pindolol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Pindolol.]
[M02AX02, tolazoline, Pindolol may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Pindolol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Pindolol.]
