[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[S02DA03, antipyrine, The serum concentration of Propranolol can be increased when it is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Propranolol.]
[J01GA01, streptomycin, Propranolol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Propranolol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Propranolol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01CG01, sulbactam, Propranolol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Propranolol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Propranolol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Propranolol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Propranolol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Propranolol.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Propranolol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Propranolol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Propranolol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Propranolol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Propranolol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Propranolol.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Propranolol.]
[R03CC03, terbutaline, Propranolol may decrease the bronchodilatory activities of Terbutaline.]
[B01AE07, dabigatran etexilate, Propranolol may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Propranolol.]
[S03AA02, tetracycline, Propranolol may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Propranolol.]
[A04AD10, dronabinol, The metabolism of Propranolol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Propranolol is combined with Apomorphine.]
[L04AX02, thalidomide, The serum concentration of Propranolol can be increased when it is combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Propranolol is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Propranolol.]
[P02CA02, thiabendazole, The metabolism of Propranolol can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The serum concentration of Propranolol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Propranolol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Propranolol.]
[N05AB08, thioproperazine, The serum concentration of Propranolol can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The serum concentration of Thioridazine can be increased when it is combined with Propranolol.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Propranolol.]
[C01BB04, aprindine, Propranolol may increase the arrhythmogenic activities of Aprindine.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Propranolol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Propranolol.]
[N05AL03, tiapride, Propranolol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The serum concentration of Propranolol can be increased when it is combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Propranolol.]
[P01AB02, tinidazole, Propranolol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Propranolol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Propranolol.]
[M02AX02, tolazoline, Propranolol may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Propranolol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Propranolol.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Propranolol.]
[N06AF04, tranylcypromine, The serum concentration of Propranolol can be increased when it is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Propranolol.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Propranolol is combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Propranolol can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, Propranolol may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Trichlormethiazide.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Propranolol.]
[A16AX12, trientine, Propranolol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The serum concentration of Propranolol can be increased when it is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05AA05, triflupromazine, The serum concentration of Propranolol can be increased when it is combined with Triflupromazine.]
[R03BA07, mometasone, The metabolism of Propranolol can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Propranolol may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Propranolol may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Propranolol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Propranolol.]
[C02BA01, trimethaphan, Propranolol may increase the hypotensive activities of Trimethaphan.]
