[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Metoprolol.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Metoprolol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Metoprolol.]
[J01GA01, streptomycin, Metoprolol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Metoprolol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Metoprolol.]
[A02BX02, sucralfate, Metoprolol may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Metoprolol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Metoprolol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Metoprolol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Metoprolol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Metoprolol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Metoprolol.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Metoprolol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Metoprolol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Metoprolol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Metoprolol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Metoprolol.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Metoprolol.]
[B01AE07, dabigatran etexilate, Metoprolol may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Metoprolol may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Metoprolol.]
[S03AA02, tetracycline, Metoprolol may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Metoprolol.]
[A04AD10, dronabinol, The metabolism of Metoprolol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Metoprolol is combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Metoprolol.]
[P02CA02, thiabendazole, Metoprolol may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The serum concentration of Metoprolol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Metoprolol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Metoprolol.]
[N05AB08, thioproperazine, The serum concentration of Metoprolol can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Metoprolol.]
[C01BB04, aprindine, Metoprolol may increase the arrhythmogenic activities of Aprindine.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Metoprolol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Metoprolol.]
[N05AL03, tiapride, Metoprolol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Metoprolol.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Metoprolol.]
[P01AB02, tinidazole, Metoprolol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Metoprolol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
