[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Bisoprolol.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Bisoprolol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Bisoprolol.]
[J01GA01, streptomycin, Bisoprolol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Bisoprolol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bisoprolol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J01CG01, sulbactam, Bisoprolol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Bisoprolol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Bisoprolol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Bisoprolol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Bisoprolol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Bisoprolol.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Bisoprolol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Bisoprolol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Bisoprolol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Bisoprolol.]
[L02BA01, tamoxifen, The serum concentration of Bisoprolol can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Bisoprolol.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Bisoprolol.]
[G03BA03, testosterone, Bisoprolol may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, Bisoprolol may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Bisoprolol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Theobromine.]
[R03DA04, theophylline, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Theophylline.]
[P02CA02, thiabendazole, Bisoprolol may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The serum concentration of Bisoprolol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Bisoprolol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Bisoprolol.]
[N05AB08, thioproperazine, The serum concentration of Bisoprolol can be increased when it is combined with Thioproperazine.]
[N05AC02, thioridazine, The serum concentration of Bisoprolol can be increased when it is combined with Thioridazine.]
[C01BB04, aprindine, The therapeutic efficacy of Aprindine can be increased when used in combination with Bisoprolol.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Bisoprolol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Bisoprolol.]
[N05AL03, tiapride, Bisoprolol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Timolol.]
[P01AB02, tinidazole, Bisoprolol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Bisoprolol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Bisoprolol.]
[M02AX02, tolazoline, Bisoprolol may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Bisoprolol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Bisoprolol.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Bisoprolol.]
[N06AX05, trazodone, The serum concentration of Bisoprolol can be increased when it is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Bisoprolol may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Bisoprolol can be increased when used in combination with Trichlormethiazide.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Bisoprolol.]
[A16AX12, trientine, Bisoprolol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The serum concentration of Bisoprolol can be increased when it is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[N05AA05, triflupromazine, The serum concentration of Bisoprolol can be increased when it is combined with Triflupromazine.]
[A03AA05, trimebutine, The therapeutic efficacy of Trimebutine can be increased when used in combination with Bisoprolol.]
[S01ED04, metipranolol, Bisoprolol may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Bisoprolol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, The therapeutic efficacy of Trimethadione can be increased when used in combination with Bisoprolol.]
[C02BA01, trimethaphan, Bisoprolol may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Bisoprolol.]
[N06AA06, trimipramine, Bisoprolol may increase the orthostatic hypotensive activities of Trimipramine.]
[J01FA08, troleandomycin, The metabolism of Bisoprolol can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Bisoprolol.]
[C09CA09, azilsartan medoxomil, Bisoprolol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Bisoprolol.]
[R03DX07, roflumilast, Bisoprolol may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Bisoprolol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Bisoprolol.]
[L01EX04, vandetanib, The serum concentration of Bisoprolol can be increased when it is combined with Vandetanib.]
