[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Labetalol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Labetalol.]
[J01GA01, streptomycin, Labetalol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Labetalol may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Labetalol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01CG01, sulbactam, Labetalol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be increased when used in combination with Labetalol.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be increased when used in combination with Labetalol.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be increased when used in combination with Labetalol.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Labetalol.]
[N05AL01, sulpiride, Sulpiride may increase the bradycardic activities of Labetalol.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be increased when used in combination with Labetalol.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be increased when used in combination with Labetalol.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Labetalol.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Labetalol is combined with Mercaptopurine.]
[N06DA01, tacrine, Tacrine may increase the bradycardic activities of Labetalol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Labetalol.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Labetalol can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Labetalol.]
[B01AE07, dabigatran etexilate, Labetalol may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Labetalol.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Labetalol.]
[S03AA02, tetracycline, Labetalol may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05AE05, lurasidone, Labetalol may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, The metabolism of Labetalol can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Labetalol is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Labetalol is combined with Thalidomide.]
[R03DA07, theobromine, The risk or severity of adverse effects can be increased when Labetalol is combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Labetalol.]
[P02CA02, thiabendazole, Labetalol may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The serum concentration of Labetalol can be increased when it is combined with Thiethylperazine.]
[L01AC01, thiotepa, Thiotepa may increase the bradycardic activities of Labetalol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Labetalol.]
[N05AB08, thioproperazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioridazine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Labetalol.]
[B02AB01, aprotinin, Aprotinin may increase the bradycardic activities of Labetalol.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Labetalol.]
[V04CJ01, thyrotropin, The risk or severity of adverse effects can be increased when Labetalol is combined with Thyrotropin.]
[V04CJ02, thyrotropin-releasing hormone, The risk or severity of adverse effects can be increased when Labetalol is combined with Protirelin.]
[N05AL03, tiapride, Labetalol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Labetalol can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Labetalol.]
[P01AB02, tinidazole, Labetalol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Labetalol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Labetalol.]
[M02AX02, tolazoline, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Labetalol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Labetalol.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Labetalol.]
[N06AF04, tranylcypromine, The metabolism of Labetalol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Labetalol is combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Labetalol may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Trichlormethiazide.]
[A03AB12, mepenzolate, The risk or severity of Tachycardia can be increased when Labetalol is combined with Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Labetalol.]
[A16AX12, trientine, Labetalol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05AA05, triflupromazine, The serum concentration of Labetalol can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, The risk or severity of Tachycardia can be increased when Trihexyphenidyl is combined with Labetalol.]
[A03AA05, trimebutine, The risk or severity of bradycardia can be increased when Trimebutine is combined with Labetalol.]
[S01ED04, metipranolol, Labetalol may increase the hypotensive activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Labetalol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of bradycardia can be increased when Trimethadione is combined with Labetalol.]
[C02BA01, trimethaphan, Labetalol may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Labetalol.]
[N06AA06, trimipramine, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Labetalol can be decreased when combined with Tripelennamine.]
[A03BB01, butylscopolamine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Labetalol can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, Labetalol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Labetalol.]
[R03DX07, roflumilast, Labetalol may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Labetalol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Labetalol.]
[R02AA14, oxyquinoline, Labetalol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Labetalol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Labetalol.]
[J05AG05, rilpivirine, The metabolism of Labetalol can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Labetalol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Labetalol may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Labetalol may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Labetalol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Labetalol.]
[N06AX09, viloxazine, The metabolism of Labetalol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Labetalol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Labetalol may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
