[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Felodipine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Felodipine.]
[L04AA27, fingolimod, Felodipine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Felodipine.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Felodipine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Felodipine.]
[M04AB02, sulfinpyrazone, Felodipine may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Sulfisoxazole.]
[M01AB02, sulindac, The therapeutic efficacy of Felodipine can be decreased when used in combination with Sulindac.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Sulpiride.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Felodipine.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Glymidine.]
[M01AX04, apazone, The therapeutic efficacy of Felodipine can be decreased when used in combination with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Felodipine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Felodipine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Felodipine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Felodipine.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Tetrabenazine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Felodipine.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Felodipine.]
[L04AX02, thalidomide, The metabolism of Felodipine can be increased when combined with Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Felodipine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Eribulin.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Felodipine.]
[N05AB08, thioproperazine, The risk or severity of hypotension can be increased when Thioproperazine is combined with Felodipine.]
[N05AC02, thioridazine, The risk or severity of hypotension can be increased when Thioridazine is combined with Felodipine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Thiothixene.]
[C01BB04, aprindine, Felodipine may increase the arrhythmogenic activities of Aprindine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Felodipine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Felodipine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Felodipine is combined with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Felodipine.]
[M02AX02, tolazoline, The risk or severity of hypotension can be increased when Tolazoline is combined with Felodipine.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Felodipine.]
[M02AA21, tolmetin, The therapeutic efficacy of Felodipine can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Felodipine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Felodipine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Felodipine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Felodipine.]
[S01BA05, triamcinolone, The metabolism of Felodipine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Felodipine.]
[N05CD05, triazolam, The metabolism of Felodipine can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Trichlormethiazide.]
[N05AB06, trifluoperazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Felodipine.]
[R03BA07, mometasone, The metabolism of Felodipine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Felodipine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Felodipine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Felodipine.]
[C02BA01, trimethaphan, Felodipine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Felodipine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Felodipine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Felodipine.]
[J01FA08, troleandomycin, The metabolism of Felodipine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Felodipine.]
[C09CA09, azilsartan medoxomil, Felodipine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Felodipine may increase the neuromuscular blocking activities of Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Vandetanib.]
[A10BH05, linagliptin, The metabolism of Felodipine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Felodipine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Felodipine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Felodipine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Felodipine.]
[C08DA01, verapamil, Verapamil may increase the arrhythmogenic activities of Felodipine.]
[N06AX09, viloxazine, The metabolism of Felodipine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C04AX07, vincamine, Felodipine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Felodipine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Felodipine.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Felodipine.]
[C03BA10, xipamide, Felodipine may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Felodipine.]
[N05AF05, zuclopenthixol, The risk or severity of hypotension can be increased when Zuclopenthixol is combined with Felodipine.]
[J05AE02, indinavir, The metabolism of Felodipine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Felodipine.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Felodipine.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Felodipine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Felodipine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Felodipine is combined with Drospirenone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Felodipine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Felodipine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Felodipine.]
[L01FA01, rituximab, Felodipine may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The serum concentration of Felodipine can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, Felodipine may increase the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Felodipine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Felodipine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Felodipine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Felodipine.]
[H02AB11, prednylidene, The metabolism of Felodipine can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Felodipine.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Felodipine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Felodipine.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Felodipine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Felodipine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Felodipine.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Felodipine.]
[A02AA05, magnesium silicate, The risk or severity of hypotension can be increased when Magnesium silicate is combined with Felodipine.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Felodipine.]
[L01EX05, regorafenib, Felodipine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Felodipine.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may increase the arrhythmogenic activities of Felodipine.]
[J05AE04, nelfinavir, The metabolism of Felodipine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Felodipine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Felodipine.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Felodipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Felodipine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Felodipine.]
[L04AA29, tofacitinib, Felodipine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Felodipine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Felodipine.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Felodipine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Felodipine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Felodipine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Felodipine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Felodipine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Bedaquiline.]
[C04AX11, bencyclane, Felodipine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Felodipine.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Felodipine can be increased when used in combination with Bendroflumethiazide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Felodipine.]
[N02BA10, benorilate, The therapeutic efficacy of Felodipine can be decreased when used in combination with Benorilate.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Gemifloxacin.]
[M04AB03, benzbromarone, Felodipine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A12CC09, magnesium orotate, The risk or severity of hypotension can be increased when Magnesium orotate is combined with Felodipine.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Felodipine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Felodipine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Pramlintide.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Felodipine.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Felodipine.]
[A12CC05, magnesium aspartate, The risk or severity of hypotension can be increased when Magnesium aspartate is combined with Felodipine.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Felodipine.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Felodipine.]
[R02AX03, benzydamine, The therapeutic efficacy of Felodipine can be decreased when used in combination with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Felodipine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Felodipine.]
[C08EA02, bepridil, Felodipine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Felodipine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Lixisenatide.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C02KX04, macitentan, Felodipine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Felodipine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Felodipine.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Felodipine.]
[C01CA27, droxidopa, Droxidopa may decrease the antihypertensive activities of Felodipine.]
[C07AB04, acebutolol, Felodipine may increase the arrhythmogenic activities of Acebutolol.]
[A16AA07, metreleptin, The metabolism of Felodipine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Felodipine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Felodipine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Felodipine.]
[C02CC01, bethanidine, Bethanidine may decrease the antihypertensive activities of Felodipine.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Felodipine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Felodipine may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Felodipine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Felodipine.]
[A10BK03, empagliflozin, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Empagliflozin.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Felodipine.]
[S01EE02, unoprostone, Felodipine may increase the hypotensive activities of Unoprostone.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Eliglustat.]
[N05AA04, acepromazine, The risk or severity of hypotension can be increased when Acepromazine is combined with Felodipine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Felodipine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Dulaglutide.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Felodipine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Felodipine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Felodipine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Felodipine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Felodipine.]
[N06AX11, mirtazapine, The risk or severity of QTc prolongation can be increased when Mirtazapine is combined with Felodipine.]
[L04AC10, secukinumab, The metabolism of Felodipine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Felodipine.]
