[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Nifedipine.]
[J01GA01, streptomycin, Nifedipine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Nifedipine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nifedipine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01CG01, sulbactam, Nifedipine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M04AB02, sulfinpyrazone, Nifedipine may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Nifedipine.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Sulindac is combined with Nifedipine.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Nifedipine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Nifedipine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Nifedipine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Nifedipine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Nifedipine.]
[B01AE07, dabigatran etexilate, Nifedipine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Tetrabenazine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Nifedipine.]
[A04AD10, dronabinol, The metabolism of Nifedipine can be decreased when combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nifedipine.]
[L04AX02, thalidomide, The metabolism of Nifedipine can be increased when combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Nifedipine.]
[P02CA02, thiabendazole, The metabolism of Nifedipine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Nifedipine.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Nifedipine.]
[N05AB08, thioproperazine, The risk or severity of hypotension can be increased when Thioproperazine is combined with Nifedipine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Nifedipine.]
[C01BB04, aprindine, Nifedipine may increase the arrhythmogenic activities of Aprindine.]
[G04BE06, moxisylyte, Nifedipine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Nifedipine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Nifedipine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S01AA12, tobramycin, Nifedipine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of hypotension can be increased when Tolazoline is combined with Nifedipine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Tolmetin is combined with Nifedipine.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Nifedipine.]
[N06AF04, tranylcypromine, The metabolism of Nifedipine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Nifedipine.]
[L01XF01, tretinoin, The metabolism of Nifedipine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Nifedipine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Nifedipine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Nifedipine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[R03BA07, mometasone, The metabolism of Nifedipine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Nifedipine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Nifedipine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Nifedipine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Nifedipine.]
[C02BA01, trimethaphan, Nifedipine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Nifedipine.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Nifedipine.]
[R06AC04, tripelennamine, The metabolism of Nifedipine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Nifedipine.]
[J01FA08, troleandomycin, The metabolism of Nifedipine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Nifedipine can be decreased when combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Nifedipine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Nifedipine may increase the neuromuscular blocking activities of Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Nifedipine.]
[L01FX04, ipilimumab, Nifedipine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Vandetanib.]
[R02AA14, oxyquinoline, Nifedipine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Nifedipine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Nifedipine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Nifedipine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Nifedipine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Nifedipine.]
[S01AA28, vancomycin, Nifedipine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Nifedipine.]
[B01AF01, rivaroxaban, Nifedipine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Nifedipine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Nifedipine.]
[C08DA01, verapamil, Verapamil may increase the arrhythmogenic activities of Nifedipine.]
[N06AX09, viloxazine, The metabolism of Nifedipine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C04AX07, vincamine, Nifedipine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Nifedipine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Nifedipine.]
[S01AA13, fusidic acid, The metabolism of Nifedipine can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Nifedipine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Nifedipine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Nifedipine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M05BA05, tiludronic acid, Nifedipine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Nifedipine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Nifedipine.]
[A02BC04, rabeprazole, Nifedipine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Nifedipine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Nifedipine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of hyperkalemia can be increased when Acetylsalicylic acid is combined with Nifedipine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Nifedipine.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Nifedipine.]
[J01DH04, doripenem, Nifedipine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
