[S02DA03, antipyrine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Nimodipine.]
[L04AA27, fingolimod, Nimodipine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nimodipine.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Nimodipine.]
[M01AB02, sulindac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Sulindac.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Nimodipine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glymidine.]
[M01AX04, apazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Azapropazone.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Nimodipine.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Nimodipine.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Tetrabenazine.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Nimodipine.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Nimodipine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Thalidomide.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Nimodipine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Nimodipine.]
[N05AB08, thioproperazine, The risk or severity of hypotension can be increased when Thioproperazine is combined with Nimodipine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Nimodipine.]
[C01BB04, aprindine, Nimodipine may increase the arrhythmogenic activities of Aprindine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Nimodipine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Nimodipine is combined with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of hypotension can be increased when Tolazoline is combined with Nimodipine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Tolbutamide.]
[M02AA21, tolmetin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Tolmetin.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Nimodipine.]
