[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Amlodipine.]
[L04AA27, fingolimod, Amlodipine may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Amlodipine.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Amlodipine can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the antihypertensive activities of Amlodipine.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glymidine.]
[M01AX04, apazone, Azapropazone may decrease the antihypertensive activities of Amlodipine.]
[L02BA01, tamoxifen, The metabolism of Amlodipine can be increased when combined with Tamoxifen.]
[R03CC03, terbutaline, Terbutaline may decrease the antihypertensive activities of Amlodipine.]
[G03BA03, testosterone, The metabolism of Amlodipine can be increased when combined with Testosterone.]
[N05AE05, lurasidone, Lurasidone may decrease the antihypertensive activities of Amlodipine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Thalidomide.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Amlodipine.]
[N05AB08, thioproperazine, The risk or severity of hypotension can be increased when Thioproperazine is combined with Amlodipine.]
[N05AC02, thioridazine, The risk or severity of hypotension can be increased when Thioridazine is combined with Amlodipine.]
[C01BB04, aprindine, Amlodipine may increase the arrhythmogenic activities of Aprindine.]
[G04BE06, moxisylyte, Moxisylyte may decrease the antihypertensive activities of Amlodipine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Amlodipine is combined with Timolol.]
[A10BB05, tolazamide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of hypotension can be increased when Tolazoline is combined with Amlodipine.]
[V04CA01, tolbutamide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Tolbutamide.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Amlodipine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the hypotensive activities of Amlodipine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Amlodipine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Amlodipine is combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Amlodipine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Amlodipine is combined with Triamterene.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Trichlormethiazide.]
[N05AB06, trifluoperazine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Amlodipine.]
[R03BA07, mometasone, The metabolism of Amlodipine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Amlodipine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Amlodipine may increase the arrhythmogenic activities of Metipranolol.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Amlodipine.]
[C02BA01, trimethaphan, Amlodipine may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of hypotension can be increased when Trimipramine is combined with Amlodipine.]
[J01FA08, troleandomycin, The metabolism of Amlodipine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may decrease the antihypertensive activities of Amlodipine.]
[C09CA09, azilsartan medoxomil, Amlodipine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Amlodipine may increase the neuromuscular blocking activities of Tubocurarine.]
[A10BH05, linagliptin, The metabolism of Amlodipine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Amlodipine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Amlodipine can be decreased when combined with Telaprevir.]
[R03AC18, indacaterol, Indacaterol may decrease the antihypertensive activities of Amlodipine.]
[C08DA01, verapamil, Amlodipine may increase the arrhythmogenic activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Amlodipine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Amlodipine can be increased when combined with Vinblastine.]
[C04AX07, vincamine, Amlodipine may increase the hypotensive activities of Vincamine.]
[A11HA03, vitamin E, The metabolism of Amlodipine can be increased when combined with Vitamin E.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Amlodipine.]
[C03BA10, xipamide, Amlodipine may increase the hypotensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of hypotension can be increased when Zuclopenthixol is combined with Amlodipine.]
[J05AE02, indinavir, The metabolism of Amlodipine can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The metabolism of Amlodipine can be increased when combined with Vemurafenib.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Amlodipine.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Amlodipine is combined with Ziprasidone.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Drospirenone.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Amlodipine.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Amlodipine.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Amlodipine.]
[L01FA01, rituximab, Amlodipine may increase the hypotensive activities of Rituximab.]
[J02AC03, voriconazole, The metabolism of Amlodipine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Amlodipine may increase the neuromuscular blocking activities of Atracurium.]
[S01FA01, atropine, Amlodipine may increase the arrhythmogenic activities of Atropine.]
[H02AB11, prednylidene, The metabolism of Amlodipine can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Amlodipine.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Amlodipine.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Amlodipine.]
[V03AX03, cobicistat, The metabolism of Amlodipine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Amlodipine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Amlodipine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Amlodipine.]
[A02AA05, magnesium silicate, The risk or severity of hypotension can be increased when Magnesium silicate is combined with Amlodipine.]
[C01CA18, octopamine, Octopamine may decrease the antihypertensive activities of Amlodipine.]
[L01EX05, regorafenib, Amlodipine may increase the bradycardic activities of Regorafenib.]
[N05CA04, barbital, The metabolism of Amlodipine can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, Amlodipine may increase the arrhythmogenic activities of Acetyldigitoxin.]
[J05AE04, nelfinavir, The metabolism of Amlodipine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Amlodipine.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Amlodipine.]
[C08CA13, lercanidipine, Amlodipine may increase the arrhythmogenic activities of Lercanidipine.]
[N06DA02, donepezil, Amlodipine may increase the bradycardic activities of Donepezil.]
[N03AX22, perampanel, The metabolism of Amlodipine can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, Amlodipine may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Amlodipine.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Amlodipine.]
[H01CB05, pasireotide, Amlodipine may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, Sildenafil may increase the antihypertensive activities of Amlodipine.]
[C04AX11, bencyclane, Amlodipine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Alogliptin.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Bendroflumethiazide.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Amlodipine.]
[A10BK02, canagliflozin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Canagliflozin.]
