[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gemfibrozil.]
[J01GA01, streptomycin, Gemfibrozil may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01CG01, sulbactam, Gemfibrozil may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Gemfibrozil.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Gemfibrozil.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Gemfibrozil.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Gemfibrozil.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Gemfibrozil.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Gemfibrozil.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Gemfibrozil.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Gemfibrozil may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Gemfibrozil.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Gemfibrozil.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be decreased when combined with Gemfibrozil.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Gemfibrozil.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Gemfibrozil.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Gemfibrozil.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Gemfibrozil.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Gemfibrozil.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Gemfibrozil.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Gemfibrozil.]
[G04BE06, moxisylyte, Gemfibrozil may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Gemfibrozil may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Gemfibrozil.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Gemfibrozil.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AA12, tobramycin, Gemfibrozil may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Gemfibrozil.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Gemfibrozil.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Gemfibrozil.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Gemfibrozil.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triamcinolone is combined with Gemfibrozil.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triazolam is combined with Gemfibrozil.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Gemfibrozil may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Gemfibrozil.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Gemfibrozil.]
[A03AA05, trimebutine, Gemfibrozil may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Gemfibrozil.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Gemfibrozil.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Gemfibrozil.]
[J01FA08, troleandomycin, The metabolism of Gemfibrozil can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Gemfibrozil.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Gemfibrozil.]
[L01FX04, ipilimumab, Gemfibrozil may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Gemfibrozil may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, The metabolism of Gemfibrozil can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Gemfibrozil can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Gemfibrozil can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Gemfibrozil.]
[S01AA28, vancomycin, Gemfibrozil may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The metabolism of Ezogabine can be decreased when combined with Gemfibrozil.]
[B01AF01, rivaroxaban, Gemfibrozil may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Gemfibrozil.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Gemfibrozil.]
[N06AX09, viloxazine, The metabolism of Gemfibrozil can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Gemfibrozil.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Gemfibrozil.]
[S01AA13, fusidic acid, The metabolism of Gemfibrozil can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Gemfibrozil.]
[J05AE02, indinavir, The metabolism of Gemfibrozil can be decreased when combined with Indinavir.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Gemfibrozil.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B06AC02, icatibant, Gemfibrozil may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Gemfibrozil can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Gemfibrozil.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Gemfibrozil.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ibandronate is combined with Gemfibrozil.]
[N05AE04, ziprasidone, The metabolism of Gemfibrozil can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Gemfibrozil may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Gemfibrozil.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Gemfibrozil.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Gemfibrozil.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Gemfibrozil.]
[J02AC03, voriconazole, The metabolism of Gemfibrozil can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Gemfibrozil.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Gemfibrozil.]
[B03XA04, peginesatide, Gemfibrozil may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Gemfibrozil.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Gemfibrozil.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Gemfibrozil.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Gemfibrozil.]
[G04BD12, mirabegron, Gemfibrozil may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[V03AX03, cobicistat, The metabolism of Gemfibrozil can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Gemfibrozil can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be decreased when it is combined with Gemfibrozil.]
[L01EX05, regorafenib, The metabolism of Gemfibrozil can be decreased when combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Gemfibrozil.]
[D02BA02, octinoxate, Gemfibrozil may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Gemfibrozil can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Gemfibrozil.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Gemfibrozil.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Gemfibrozil.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Gemfibrozil.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Gemfibrozil.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Gemfibrozil.]
[V09IX04, fluorodeoxyglucose F18, Gemfibrozil may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Gemfibrozil.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Gemfibrozil.]
[V08CA11, gadofosveset, Gemfibrozil may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Gemfibrozil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Gemfibrozil.]
[A16AX08, teduglutide, Gemfibrozil may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Gemfibrozil may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Gemfibrozil may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Gemfibrozil.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Gemfibrozil.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Gemfibrozil.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Gemfibrozil.]
[L03AA12, ancestim, Gemfibrozil may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Gemfibrozil.]
[C10AC04, colesevelam, Colesevelam can cause a decrease in the absorption of Gemfibrozil resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Gemfibrozil.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01EE01, trametinib, Gemfibrozil may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Gemfibrozil.]
[V09AX05, florbetapir F-18, Gemfibrozil may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Gemfibrozil.]
[J05AJ03, dolutegravir, The metabolism of Dolutegravir can be decreased when combined with Gemfibrozil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Gemfibrozil.]
[A10BJ03, lixisenatide, Gemfibrozil may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The therapeutic efficacy of Cholic Acid can be decreased when used in combination with Gemfibrozil.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be decreased when combined with Gemfibrozil.]
[C02KX04, macitentan, Gemfibrozil may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Gemfibrozil.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Eslicarbazepine can be decreased when combined with Gemfibrozil.]
[J05AP05, simeprevir, The metabolism of Gemfibrozil can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Gemfibrozil may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Gemfibrozil.]
[C01CA27, droxidopa, Gemfibrozil may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Gemfibrozil.]
[A16AA07, metreleptin, The metabolism of Gemfibrozil can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Gemfibrozil.]
[L02BG02, formestane, Gemfibrozil may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Gemfibrozil.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Gemfibrozil.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of adverse effects can be increased when Gemfibrozil is combined with Bezafibrate.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Gemfibrozil.]
[L01XH04, belinostat, The metabolism of Belinostat can be decreased when combined with Gemfibrozil.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Gemfibrozil.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Gemfibrozil.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Gemfibrozil.]
[S03AA06, gentamicin, Gemfibrozil may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[J05AP09, dasabuvir, The serum concentration of Dasabuvir can be increased when it is combined with Gemfibrozil.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Gemfibrozil.]
[B01AF03, edoxaban, Gemfibrozil may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Gemfibrozil.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Gemfibrozil.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Gemfibrozil is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Gemfibrozil.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Gemfibrozil.]
[G02CX02, flibanserin, The serum concentration of Flibanserin can be increased when it is combined with Gemfibrozil.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Gemfibrozil which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Gemfibrozil is combined with Insulin degludec.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Gemfibrozil is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Gemfibrozil.]
[V03AB37, idarucizumab, Gemfibrozil may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Gemfibrozil.]
[J02AC05, isavuconazole, The metabolism of Gemfibrozil can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Gemfibrozil.]
[L01XG03, ixazomib, Gemfibrozil may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The serum concentration of Selexipag can be increased when it is combined with Gemfibrozil.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Gemfibrozil.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Gemfibrozil.]
[J05AP11, grazoprevir, The excretion of Grazoprevir can be decreased when combined with Gemfibrozil.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Gemfibrozil.]
[L01XX52, venetoclax, The metabolism of Gemfibrozil can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Gemfibrozil.]
[A02AD05, aluminum magnesium silicate, Gemfibrozil may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A05AA04, obeticholic acid, The therapeutic efficacy of Obeticholic acid can be decreased when used in combination with Gemfibrozil.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Gemfibrozil.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Gemfibrozil.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Gemfibrozil.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Gemfibrozil.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Gemfibrozil.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Gemfibrozil.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Gemfibrozil.]
[L01EF02, ribociclib, The metabolism of Gemfibrozil can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Gemfibrozil.]
