[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methoxsalen.]
[J01GA01, streptomycin, Methoxsalen may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01CG01, sulbactam, Methoxsalen may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Methoxsalen may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Methoxsalen.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Methoxsalen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03CC03, terbutaline, Methoxsalen may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Methoxsalen may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Methoxsalen may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, Methoxsalen may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Methoxsalen.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Methoxsalen.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Methoxsalen.]
[G04BE06, moxisylyte, Methoxsalen may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Methoxsalen may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[P01AB02, tinidazole, Methoxsalen may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Methoxsalen may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Methoxsalen may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Methoxsalen may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Methoxsalen.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Methoxsalen may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Methoxsalen may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Methoxsalen.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A03AA05, trimebutine, Methoxsalen may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Methoxsalen.]
[L01FX04, ipilimumab, Methoxsalen may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Methoxsalen may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[S01AA28, vancomycin, Methoxsalen may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Methoxsalen may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Methoxsalen may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Methoxsalen.]
[N06AX09, viloxazine, Methoxsalen may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Methoxsalen.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Methoxsalen.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M05BA05, tiludronic acid, Methoxsalen may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Methoxsalen may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Methoxsalen may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Methoxsalen may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[S01LA01, verteporfin, Methoxsalen may increase the photosensitizing activities of Verteporfin.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Methoxsalen may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Methoxsalen may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Methoxsalen may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[M01CB03, auranofin, Methoxsalen may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Methoxsalen.]
[B03XA04, peginesatide, Methoxsalen may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Methoxsalen may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Methoxsalen.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Methoxsalen.]
[G04BD12, mirabegron, Methoxsalen may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L02BB04, enzalutamide, Methoxsalen may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[D02BA02, octinoxate, Methoxsalen may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Methoxsalen.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Methoxsalen.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Methoxsalen.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Methoxsalen.]
[V09IX04, fluorodeoxyglucose F18, Methoxsalen may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Methoxsalen may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[A16AX08, teduglutide, Methoxsalen may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Methoxsalen may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Methoxsalen may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Methoxsalen.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Methoxsalen.]
[L03AA12, ancestim, Methoxsalen may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01EE01, trametinib, Methoxsalen may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Methoxsalen.]
[V09AX05, florbetapir F-18, Methoxsalen may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Methoxsalen may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Methoxsalen may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Methoxsalen may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Methoxsalen.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
