[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Antipyrine is combined with Neomycin.]
[J01GA01, streptomycin, The risk or severity of nephrotoxicity can be increased when Streptomycin is combined with Neomycin.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Neomycin.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA16, sulbenicillin, The serum concentration of Neomycin can be decreased when it is combined with Sulbenicillin.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, Sulfamethoxazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of nephrotoxicity can be increased when Sulindac is combined with Neomycin.]
[N05AL01, sulpiride, Sulpiride may increase the neurotoxic activities of Neomycin.]
[M01AX04, apazone, The risk or severity of nephrotoxicity can be increased when Azapropazone is combined with Neomycin.]
[J01CA15, talampicillin, The serum concentration of Neomycin can be decreased when it is combined with Talampicillin.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Neomycin.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Ceftaroline fosamil is combined with Neomycin.]
[N05AE05, lurasidone, Neomycin may increase the neurotoxic activities of Lurasidone.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AB08, thioproperazine, Neomycin may increase the neurotoxic activities of Thioproperazine.]
[N05AC02, thioridazine, Thioridazine may increase the neurotoxic activities of Neomycin.]
[N05AF04, thiothixene, Neomycin may increase the neurotoxic activities of Thiothixene.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA13, ticarcillin, The serum concentration of Neomycin can be decreased when it is combined with Ticarcillin.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA12, tobramycin, The risk or severity of nephrotoxicity can be increased when Tobramycin is combined with Neomycin.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of nephrotoxicity can be increased when Tolmetin is combined with Neomycin.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C03DB02, triamterene, The risk or severity of nephrotoxicity can be increased when Triamterene is combined with Neomycin.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the neurotoxic activities of Neomycin.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AD02, trifluperidol, Neomycin may increase the neurotoxic activities of Trifluperidol.]
[N05AA05, triflupromazine, Triflupromazine may increase the neurotoxic activities of Neomycin.]
[A03AA05, trimebutine, Trimebutine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R06AD01, trimeprazine, Neomycin may increase the neurotoxic activities of Alimemazine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Neomycin is combined with Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the neurotoxic activities of Neomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Neomycin.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA28, vancomycin, The risk or severity of nephrotoxicity can be increased when Vancomycin is combined with Neomycin.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AF01, rivaroxaban, Rivaroxaban may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C08DA01, verapamil, Verapamil may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX09, viloxazine, Viloxazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Neomycin.]
[B03BA01, vitamin B12, Neomycin can cause a decrease in the absorption of Cyanocobalamin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA03, warfarin, Neomycin may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N05AF05, zuclopenthixol, Neomycin may increase the neurotoxic activities of Zuclopenthixol.]
[M05BA03, pamidronic acid, The risk or severity of nephrotoxicity can be increased when Pamidronic acid is combined with Neomycin.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
