[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Mometasone.]
[S02DA03, antipyrine, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Antipyrine.]
[A14AA02, stanozolol, The risk or severity of fluid retention can be increased when Mometasone is combined with Stanozolol.]
[G03XB02, ulipristal, The serum concentration of Mometasone can be increased when it is combined with Ulipristal.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Mometasone.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Mometasone.]
[L04AA27, fingolimod, Mometasone may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Mometasone.]
[J01EC02, sulfadiazine, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Mometasone.]
[S01AB02, sulfisoxazole, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Sulindac.]
[N05AL01, sulpiride, The therapeutic efficacy of Sulpiride can be decreased when used in combination with Mometasone.]
[A10BB04, glibornuride, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glibornuride.]
[A10BC01, glymidine, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Glymidine.]
[M01AX04, apazone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mometasone is combined with Mercaptopurine.]
[N06DA01, tacrine, The therapeutic efficacy of Tacrine can be decreased when used in combination with Mometasone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Mometasone.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Mometasone.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Mometasone.]
[G03BA03, testosterone, The risk or severity of edema formation can be increased when Testosterone is combined with Mometasone.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Mometasone.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Mometasone is combined with Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Mometasone.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Mometasone is combined with Eribulin.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiotepa can be decreased when used in combination with Mometasone.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Mometasone.]
[B02AB01, aprotinin, The therapeutic efficacy of Aprotinin can be decreased when used in combination with Mometasone.]
[A10BB05, tolazamide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Tolazamide.]
[V04CA01, tolbutamide, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Tolmetin.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Mometasone.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Mometasone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Mometasone.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Mometasone.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Mometasone.]
[C03AA06, trichlormethiazide, The risk or severity of electrolyte imbalance can be increased when Mometasone is combined with Trichlormethiazide.]
[S01EB04, demecarium, The therapeutic efficacy of Demecarium can be decreased when used in combination with Mometasone.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Mometasone.]
[N05AA05, triflupromazine, The therapeutic efficacy of Triflupromazine can be decreased when used in combination with Mometasone.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Mometasone is combined with Fluclorolone.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Mometasone is combined with Antilymphocyte immunoglobulin (horse).]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Mometasone.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Mometasone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Mometasone.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Mometasone is combined with Belimumab.]
[S01AA05, tyrothricin, The therapeutic efficacy of Tyrothricin can be decreased when used in combination with Mometasone.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Mometasone.]
[A10BH05, linagliptin, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be increased when combined with Mometasone.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be increased when combined with Mometasone.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Mometasone.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Mometasone is combined with Belatacept.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Mometasone.]
[R03AC18, indacaterol, The risk or severity of hypokalemia can be increased when Mometasone is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Mometasone.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Mometasone.]
[N06AX09, viloxazine, The metabolism of Mometasone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Mometasone.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Mometasone.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Mometasone.]
[B01AA03, warfarin, Mometasone may increase the anticoagulant activities of Warfarin.]
[J01MB04, pipemidic acid, The risk or severity of tendinopathy can be increased when Mometasone is combined with Pipemidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Mometasone.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Mometasone.]
[J05AE02, indinavir, The metabolism of Indinavir can be increased when combined with Mometasone.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Mometasone.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Mometasone.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Mometasone.]
[H05BX03, doxercalciferol, The therapeutic efficacy of Doxercalciferol can be decreased when used in combination with Mometasone.]
[J01MA13, trovafloxacin, The risk or severity of tendinopathy can be increased when Mometasone is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Mometasone.]
