[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Metronidazole.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Metronidazole.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Metronidazole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sulpiride.]
[N03AX03, sulthiame, The therapeutic efficacy of Sulthiame can be decreased when used in combination with Metronidazole.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Metronidazole.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Metronidazole.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Metronidazole.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Metronidazole.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Metronidazole.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Metronidazole.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Metronidazole.]
[L04AX02, thalidomide, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Metronidazole.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Metronidazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Eribulin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Metronidazole.]
[N05CA19, thiopental, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metronidazole.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Thiothixene.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Metronidazole.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Metronidazole.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Metronidazole.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Metronidazole.]
[N06AF04, tranylcypromine, The metabolism of Metronidazole can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Metronidazole.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Metronidazole.]
[S01BA05, triamcinolone, The metabolism of Metronidazole can be increased when combined with Triamcinolone.]
[N05CD05, triazolam, The metabolism of Metronidazole can be decreased when combined with Triazolam.]
[R03BA07, mometasone, The metabolism of Metronidazole can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Metronidazole.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Metronidazole.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Metronidazole.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Metronidazole.]
[J01FA08, troleandomycin, The metabolism of Metronidazole can be decreased when combined with Troleandomycin.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Metronidazole.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Metronidazole.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Metronidazole.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Metronidazole.]
[J05AP03, boceprevir, The metabolism of Metronidazole can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Metronidazole.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Metronidazole.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Metronidazole.]
[C08DA01, verapamil, The metabolism of Metronidazole can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Metronidazole can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Metronidazole.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Metronidazole.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Metronidazole.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Metronidazole.]
[J05AF01, zidovudine, The metabolism of Metronidazole can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Metronidazole can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Metronidazole.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Metronidazole.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Metronidazole.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Metronidazole.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Metronidazole.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Metronidazole.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Metronidazole.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Metronidazole.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Metronidazole.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Tolterodine.]
[J02AC03, voriconazole, The metabolism of Metronidazole can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Metronidazole.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Metronidazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Metronidazole.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Metronidazole.]
[H02AB11, prednylidene, The metabolism of Metronidazole can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Metronidazole.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Metronidazole.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Metronidazole can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Metronidazole.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Metronidazole.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Metronidazole.]
[N05CA04, barbital, The therapeutic efficacy of Barbital can be decreased when used in combination with Metronidazole.]
[J05AE04, nelfinavir, The metabolism of Metronidazole can be decreased when combined with Nelfinavir.]
[C08CA13, lercanidipine, The metabolism of Metronidazole can be decreased when combined with Lercanidipine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Metronidazole.]
[N03AX22, perampanel, The therapeutic efficacy of Perampanel can be decreased when used in combination with Metronidazole.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Metronidazole.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Metronidazole.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Metronidazole.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Metronidazole.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Metronidazole.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Metronidazole.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Bencyclane.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Metronidazole.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Metronidazole.]
